"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"890","LDB3",11155,"ENSG00000122367","Oligodendrocyte",0.864,0.274,5.82810596566441,4.03973521810488,0.895,0.79,0,0
"891","LDLRAD4",753,"ENSG00000168675","Microglia",0.967,0.917,2.78519479716245,1.93054992096338,0.857,0.714,6.43181815761524e-256,3.23398248783052e-251
"892","LGALS1",3956,"ENSG00000100097","Pericyte",0.656,0.226,5.20309260883923,3.6065089720092,0.782,0.564,1.13655602162664e-27,5.71471733234091e-23
"893","LGALS3",3958,"ENSG00000131981","VLMC",0.364,0.058,4.34910073350705,3.0145669114016,0.661,0.322,0.000100999360478925,1
"894","LGI4",163175,"ENSG00000153902","Astrocyte",0.931,0.563,2.9257688128049,2.02798840356593,0.84,0.68,0,0
"895","LGR4",55366,"ENSG00000205213","Astrocyte",0.769,0.531,2.62870229196233,1.82207758220515,0.724,0.448,2.48985927899555e-215,1.25192614407175e-210
"896","LGR6",59352,"ENSG00000133067","L6 CT",0.38,0.167,2.98952382125233,2.07218000791785,0.626,0.252,0,0
"897","LHFPL2",10184,"ENSG00000145685","Microglia",0.803,0.451,5.04348273113263,3.49587583528736,0.819,0.638,0,0
"898","LHFPL3",375612,"ENSG00000187416","OPC",1,0.689,6.390217593964,4.42936130842071,0.999,0.998,0,0
"899","LHX2",9355,"ENSG00000106689","Astrocyte",0.579,0.336,2.90059603009326,2.01053996020251,0.669,0.338,4.2847797811896e-194,2.15443012177994e-189
"900","LIFR",3977,"ENSG00000113594","Astrocyte",0.922,0.512,3.04394438899847,2.10990147101555,0.864,0.728,0,0
"901","LILRB1",10859,"ENSG00000274669, ENSG00000277807, ENSG00000276452, ENSG00000277134, ENSG00000104972","Microglia",0.42,0.019,7.10610936521118,4.92557967124675,0.704,0.408,0,0
"902","LILRB4",11006,"ENSG00000278555, ENSG00000276042, ENSG00000278279, ENSG00000275730, ENSG00000186818","Microglia",0.471,0.079,7.14956429814626,4.95570033549213,0.713,0.426,0,0
"903","LIMD1",8994,"ENSG00000144791","OPC",0.489,0.242,3.90474718018874,2.70656449874723,0.66,0.32,1.20588323823054e-248,6.063301510147e-244
"904","LIMS1",3987,"ENSG00000169756","Microglia",0.619,0.576,3.24263533021736,2.24762353672423,0.606,0.212,1.46675144692088e-109,7.37497295026286e-105
"905","LINC00152",112597,NA,"Pericyte",0.438,0.349,3.41530274434932,2.36730746800438,0.587,0.174,9.52878122250923e-08,0.00479116648648987
"906","LINC00278",100873962,NA,"Astrocyte",0.358,0.165,4.18090000384382,2.89797904986741,0.618,0.236,0,0
"907","LINC00298",339788,NA,"LAMP5",0.679,0.111,3.96048839783838,2.74520136660204,0.804,0.608,0,0
