"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_log2FC","roc_avg_diff","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"772","KCNMB2",10242,"ENSG00000197584","GABAergic",0.306,0.141,2.04150790071351,1.41506544547042,0.589,0.178,0,0
"773","KCNN3",3782,"ENSG00000143603","Non-neuronal",0.384,0.448,2.02170790834741,1.40134113658675,0.487,0.026,2.29818631047746e-81,1.15555105877117e-76
"774","KCNQ1",3784,"ENSG00000282076, ENSG00000053918","Non-neuronal",0.301,0.351,2.08930332017872,1.44819470571641,0.479,0.042,2.51885323476599e-24,1.26650459497269e-19
"775","KCNQ4",9132,"ENSG00000117013","GABAergic",0.283,0.196,1.54367510793181,1.0699940487635,0.552,0.104,3.75160155920532e-220,1.88634277998403e-215
"776","KCNQ5",56479,"ENSG00000185760","Glutamatergic",0.992,0.795,1.72352739717017,1.19465815596631,0.862,0.724,0,0
"777","KCNS1",3787,"ENSG00000124134","Glutamatergic",0.286,0.016,3.16340251040265,2.19270353106185,0.635,0.27,0,0
"778","KCNS3",3790,"ENSG00000170745","GABAergic",0.285,0.137,3.49602061547557,2.42325683279634,0.585,0.17,0,0
"779","KCNV1",27012,"ENSG00000164794","Glutamatergic",0.585,0.037,4.24274756782544,2.94084851446577,0.78,0.56,0,0
"780","KCTD1",284252,"ENSG00000134504","Glutamatergic",0.946,0.582,1.95983987113659,1.35845748102729,0.838,0.676,0,0
"781","KHDRBS2",202559,"ENSG00000112232","Glutamatergic",1,0.835,1.57555692710242,1.09209284183274,0.856,0.712,0,0
"782","KHDRBS3",10656,"ENSG00000131773","Glutamatergic",0.997,0.688,2.05388943347978,1.42364766999837,0.904,0.808,0,0
"783","KIAA0226L",80183,"ENSG00000102445","Non-neuronal",0.253,0.239,2.69883021254418,1.870686552635,0.514,0.028,3.04269388659897e-61,1.52989691312083e-56
"784","KIAA1211",57482,"ENSG00000109265","GABAergic",0.94,0.613,3.04084267058716,2.10775152364386,0.873,0.746,0,0
"785","KIAA1211L",343990,"ENSG00000196872","Glutamatergic",0.94,0.272,3.60440470731953,2.49838296047552,0.93,0.86,0,0
"786","KIAA1598",57698,"ENSG00000187164","Non-neuronal",0.737,0.863,1.99797206124855,1.38488870109197,0.501,0.002,8.65751289310078e-147,4.35308405778e-142
"787","KIAA1755",85449,"ENSG00000149633","Non-neuronal",0.497,0.077,6.5698763260668,4.55389125204074,0.726,0.452,0,0
"788","KIAA2012",100652824,"ENSG00000182329","Glutamatergic",0.336,0.191,1.75910458147662,1.2193183809606,0.583,0.166,0,0
"789","KIF13A",63971,"ENSG00000137177","Non-neuronal",0.865,0.802,2.6836254187893,1.86014739271282,0.694,0.388,0,0
"790","KIF13B",23303,"ENSG00000197892","Non-neuronal",0.693,0.606,2.90426344510703,2.01308201857925,0.612,0.224,4.94065645841247e-324,2.48421147385437e-319
"791","KIF26B",55083,"ENSG00000281216, ENSG00000162849","GABAergic",0.917,0.838,2.07326600357691,1.43707848493013,0.719,0.438,0,0
"792","KIF6",221458,"ENSG00000164627","Non-neuronal",0.608,0.53,3.45401968447414,2.3941440058918,0.601,0.202,0,0
"793","KIFC3",3801,"ENSG00000140859","Non-neuronal",0.418,0.485,1.59195915997718,1.10346200330476,0.476,0.048,1.21830602281115e-51,6.12576451329674e-47
