X1,gene,entrez_id,ensembl_id,class,pct.1,pct.2,avg_log2FC,roc_avg_diff,roc_myAUC,roc_power,MAST_p_val,MAST_p_val_adj,avg_expr,top_log2FC,bretigea_ranking,dan_ranking,bretigea_ranking_best
1832,LOC101927451,101927451,NA,Non-neuronal,0.425,0.591,1.44878047124404,1.00421809889312,0.447,0.106,3.06149976788241e-159,1.53935269828895e-154,1.7421257814822066,-0.2586463482916599,1564,1954.5,1846
3250,RASSF8.AS1,100506451,ENSG00000246695,Non-neuronal,0.201,0.285,1.58621053898079,1.099477362869,0.47,0.0600000000000001,2.65472040743705e-169,1.33481996806342e-164,0.8491715106657526,-0.5030362673340902,2037,2069,1847
118,AGO2,27161,ENSG00000123908,Non-neuronal,0.559,0.697,1.37297282499245,0.951672242628944,0.465,0.07,4.87763487614883e-125,2.45252359207639e-120,2.01023437189874,-0.16173111415706365,1491,1941.5,1848.5
3646,SON,6651,ENSG00000159140,Non-neuronal,0.963,0.996,1.11965147539801,0.776083263381908,0.711,0.422,0,0,6.111846901405045,0.06117791774063752,1333,2049.5,1848.5
4005,TTC31,64427,ENSG00000115282,Non-neuronal,0.131,0.183,1.48596729698977,1.02999404231274,0.476,0.048,1.61197552109474e-29,8.10517411761646e-25,0.4013594575316249,-0.264700479042983,2311.5,1933.5,1850
2649,MUTYH,4595,ENSG00000132781,Non-neuronal,0.158,0.21,1.43225494682678,0.992763478236014,0.479,0.042,1.9596106602957e-64,9.8531183610327994e-60,0.6157737954032876,-0.3544978671390788,2227,2090.5,1851
310,BACH1,571,ENSG00000156273,Non-neuronal,0.233,0.264,1.7135386440924,1.18773447993316,0.49,0.02,1.52221414749076e-21,7.65384495499828e-17,0.8282465246113195,-1.0258452905216084,2083.5,2132.5,1852
790,DDX59,83479,ENSG00000118197,Non-neuronal,0.225,0.265,1.48049204316659,1.02619888556235,0.483,0.034,7.18021004465105e-15,3.61028141255099e-10,0.5193864326128315,-0.11368710671972693,2076.5,1791,1853
2802,NRP2,8828,ENSG00000118257,Non-neuronal,0.18,0.197,1.40839941752485,0.976228085359612,0.491,0.018,0.00216645532814644,1,0.4719283492952228,-0.22175497938791022,2264,1957,1854
910,EIF4BP6,645579,ENSG00000197258,Non-neuronal,0.083,0.177,1.50279637848605,1.0416590727033,0.457,0.086,1.01085843645418e-265,5.08269730433529e-261,0.19210623116296674,-0.09316984523416183,2335,1750,1855
793,DEC1,50514,ENSG00000173077,Non-neuronal,0.247,0.221,1.24730548681129,0.864566281480198,0.518,0.036,1.86219433627273e-19,9.36329934221291e-15,0.26388887546306694,0.4683106740913032,2196,1622.5,1856.5
4030,UBE2E1,7324,ENSG00000170142,Non-neuronal,0.584,0.693,1.42636479600833,0.988680736803133,0.459,0.082,8.52705494293234e-55,4.28748849585581e-50,1.9521180198498875,-0.2157112606824131,1495,1939,1856.5
3800,TALDO1,6888,ENSG00000177156,Non-neuronal,0.289,0.452,1.65144778302003,1.14469637464231,0.436,0.128,1.36297323577815e-186,6.85316572681614e-182,1.0808751806800658,-0.3375879953313278,1749,1875,1858
3053,PLOD3,8985,ENSG00000106397,Non-neuronal,0.244,0.363,1.59981927816156,1.10891022206313,0.45,0.1,1.43290055204162e-126,7.20476726572047e-122,0.7830741446693626,-0.2689119695653947,1896.5,1845,1859
3380,RXRA,6256,ENSG00000186350,Non-neuronal,0.249,0.295,1.56843264885701,1.08715466845339,0.489,0.022,4.84618632492626e-111,2.43671094603617e-106,0.9101409836424108,-0.5264158547893292,2020,2117.5,1860
1856,LOC101928004,101928004,NA,Non-neuronal,0.184,0.167,1.11312809403468,0.771561599982202,0.512,0.024,2.56252062938306e-19,1.2884609976601e-14,0.16558158755114738,0.4708348179009407,2366.5,1796.5,1861
4162,ZKSCAN1,7586,ENSG00000106261,Non-neuronal,0.692,0.856,1.34125911429545,0.929689973474223,0.487,0.026,2.27437688748872e-211,1.1435794427982e-206,3.003761800396288,-0.18157115146929814,1403,2003.5,1862
2519,MAP7,9053,ENSG00000135525,Non-neuronal,0.72,0.975,1.54849548196942,1.07333527743691,0.471,0.0580000000000001,0,0,3.825559646209007,-0.3989436784512759,1351,2011.5,1863
3126,PRKX,5613,ENSG00000183943,Non-neuronal,0.374,0.362,2.04131592533466,1.41493237827783,0.523,0.046,4.43186699717101e-77,2.22838704484755e-72,0.6877994377699211,-0.4836299643104323,1901,1765,1864
868,DRAM1,55332,ENSG00000136048,Non-neuronal,0.226,0.202,1.74513095832602,1.20963260347155,0.518,0.036,1.9308372622971e-31,9.70844283855603e-27,0.3140378841537347,-0.2970767887630559,2258,1770,1865
2962,PER3,8863,ENSG00000049246,Non-neuronal,0.474,0.614,1.45964340827877,1.01174771307134,0.472,0.056,4.21726535488415e-171,2.1204831930893e-166,2.0470794298221167,-0.3295659229969212,1555,2041,1866
3482,SH2B3,10019,ENSG00000111252,Non-neuronal,0.304,0.428,1.90406703508421,1.31979869696576,0.441,0.118,1.53220647439801e-75,7.70408737392064e-71,0.8765659942659147,-0.44075414924381556,1792,1810.5,1867
2410,LOC374443,374443,NA,Non-neuronal,0.105,0.159,1.68110660438164,1.16525430304784,0.474,0.052,1.23577679852216e-30,6.21360932064925e-26,0.18574153904818969,-0.31823708004896467,2405.5,1843,1868
1249,GPT2,84706,ENSG00000166123,Non-neuronal,0.385,0.514,1.44259869895863,0.999933220862621,0.451,0.098,1.23312556236902e-108,6.20027864014769e-104,1.1970461354480706,-0.1597699030211988,1670,1866,1869.5
2806,NSMCE2,286053,ENSG00000156831,Non-neuronal,0.814,0.92,1.2972983116949,0.899218667096486,0.519,0.038,1.54216517862376e-115,7.75416073463813e-111,3.7644356892031414,-0.17435636113629527,1381,2045,1869.5
2977,PHACTR4,65979,ENSG00000204138,Non-neuronal,0.843,0.907,1.30975252514762,0.907851270037339,0.477,0.046,2.69993840346037e-39,1.35755602864391e-34,2.702618088866909,-0.10545383920711626,1393,1947,1871
1382,IDH1,3417,ENSG00000138413,Non-neuronal,0.317,0.458,1.42569368409314,0.988215557471281,0.452,0.096,1.33374960485487e-162,6.70622638817077e-158,1.3505386238558108,-0.2826681752090107,1752,2021.5,1872
3120,PRKCD,5580,ENSG00000163932,Non-neuronal,0.128,0.185,1.55813056993241,1.08001381149291,0.473,0.054,5.60106109424799e-33,2.81626952879883e-28,0.36584263364068154,-0.2951607221594845,2316.5,1907.5,1873
3705,SRGAP2B,647135,ENSG00000196369,Non-neuronal,0.582,0.871,2.35918032857617,1.63525919318506,0.33,0.34,0,0,1.60951329823394,-0.6200548931325148,1405.5,1733,1874
2091,LOC105372287,105372287,NA,Non-neuronal,0.276,0.243,1.18717595553706,0.822887666409073,0.525,0.05,2.04722739699446e-46,1.02936640748279e-41,0.3032733274237078,0.6062469712778458,2156,1619,1875
2458,LRP5L,91355,ENSG00000100068,Non-neuronal,0.153,0.179,1.31770938796914,0.913366547068178,0.488,0.024,6.68445933613026e-12,3.36101299879966e-7,0.30274330148262546,-0.007383323700460576,2345,1858,1876.5
