"","gene","entrez_id","cluster","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"644","LOC105374971",105374971,"Pyramidal",0.475,0.266,3.80562285725505,3.11948914286864e-286,1.56851033592578e-281,0.628,0.256
"645","LOC105375159",105375159,"Pyramidal",0.667,0.179,2.80207039724646,0,0,0.79,0.58
"646","LOC105375415",105375415,"Inhibitory",0.733,0.022,5.31892130598097,0,0,0.863,0.726
"647","LOC105375483",105375483,"Oligo",0.636,0.313,4.61388925975692,0,0,0.735,0.47
"648","LOC105375629",105375629,"Pyramidal",0.812,0.136,3.09105479241767,0,0,0.876,0.752
"649","LOC105375920",105375920,"VLMC_CYP1B1",0.727,0.296,3.11272958070329,1.36563090843965e-13,6.8665287707254e-09,0.764,0.528
"650","LOC105375931",105375931,"Pyramidal",0.55,0.225,3.18107562381551,0,0,0.698,0.396
"651","LOC105376219",105376219,"Micro_C1QC",0.425,0.288,3.93531509285923,3.56872411943186e-245,1.79439017449154e-240,0.606,0.212
"652","LOC105376244",105376244,"Astro_FGFR3",0.646,0.072,2.70513633030924,0,0,0.798,0.596
"653","LOC105376287",105376287,"Micro_C1QC",0.36,0.203,2.50648273714754,5.6493171113149e-133,2.84053313674025e-128,0.6,0.2
"654","LOC105376388",105376388,"Micro_C1QC",0.444,0.028,5.9430090735252,0,0,0.714,0.428
"655","LOC105376405",105376405,"Pyramidal",0.779,0.022,3.47636619758441,0,0,0.884,0.768
"656","LOC105376407",105376407,"Pyramidal",0.952,0.118,3.87320205981085,0,0,0.966,0.932
"657","LOC105376481",105376481,"VLMC_CYP1B1",0.636,0.209,4.11221472954288,2.78913578699437e-12,1.40240536505864e-07,0.765,0.53
"658","LOC105376603",105376603,"Micro_C1QC",0.625,0.137,5.86063117819827,0,0,0.783,0.566
"659","LOC105376640",105376640,"VLMC_CYP1B1",0.364,0.188,2.63061128085678,NA,NA,0.6,0.2
"660","LOC105376908",105376908,"Micro_C1QC",0.485,0.317,2.8023197349504,1.66846164818316e-173,8.38919201322975e-169,0.624,0.248
"661","LOC105376917",105376917,"Astro_FGFR3",0.774,0.204,4.66000259683977,0,0,0.854,0.708
"662","LOC105377567",105377567,"Inhibitory",0.9,0.72,2.50854175567528,0,0,0.807,0.614
"663","LOC105377574",105377574,"Inhibitory",0.767,0.471,2.53600148719546,0,0,0.766,0.532
"664","LOC105377684",105377684,"Micro_C1QC",0.788,0.165,5.04191118726637,0,0,0.867,0.734
"665","LOC105377918",105377918,"Micro_C1QC",0.525,0.037,5.08661307716371,0,0,0.752,0.504
"666","LOC105377979",105377979,"VLMC_CYP1B1",0.818,0.23,4.66434529093706,3.73525582882487e-46,1.87812398329143e-41,0.872,0.744
"667","LOC105378111",105378111,"OPC_MYT1",0.382,0.065,3.18917169716701,2.4774090290259e-180,1.24566603388451e-175,0.667,0.334
"668","LOC105378119",105378119,"Micro_C1QC",0.424,0.095,3.27239257422432,2.03555449031259e-170,1.02349715327407e-165,0.676,0.352
"669","LOC105378145",105378145,"VLMC_CYP1B1",0.636,0.11,5.68467997238184,6.53987194556157e-56,3.28831301294782e-51,0.797,0.594
"670","LOC105378146",105378146,"VLMC_CYP1B1",0.545,0.03,4.89201397454618,7.9491414617066e-11,3.9969078183607e-06,0.763,0.526
"671","LOC105378305",105378305,"Micro_C1QC",0.793,0.338,5.51506499480041,0,0,0.845,0.69
"672","LOC105378837",105378837,"Pyramidal",0.496,0.072,2.9029341826961,0,0,0.725,0.45
"673","LOC105379054",105379054,"OPC_MYT1",0.726,0.04,4.21147864235282,0,0,0.852,0.704
"674","LOC105379082",105379082,"VLMC_CYP1B1",1,0.366,3.70660676909278,6.81423178563156e-16,3.42626388413341e-11,0.997,0.994
"675","LOC105379364",105379364,"Astro_FGFR3",0.683,0.479,3.04056315711478,1.21616798442708e-298,6.11501424249778e-294,0.688,0.376
"676","LOC255187",255187,"Oligo",0.423,0.067,4.63328915267742,0,0,0.691,0.382
