"","Gene","Entrez gene ID","Ensembl gene ID","Cell group","Prevalence in cell group ('pct.1')","Prevalence in all other cells ('pct.2')","Average log2 fold change","AUC from ROC test","Power from ROC test","Mast test p","Mast test FDR (q)","Used in MGP"
"1281","TRIM59",286827,"ENSG00000213186","Oligodendrocyte",0.536,0.044,7.15509763570134,0.756,0.512,0,0,TRUE
"1282","SLC5A11",115584,"ENSG00000288216, ENSG00000158865","Oligodendrocyte",0.877,0.52,7.09092126887884,0.881,0.762,0,0,TRUE
"1283","SH3TC2",79628,"ENSG00000169247","Oligodendrocyte",0.737,0.042,7.07168464444039,0.861,0.722,0,0,TRUE
"1284","CLDN11",5010,"ENSG00000013297","Oligodendrocyte",0.983,0.246,6.98009125774656,0.983,0.966,0,0,TRUE
"1285","TMEM98",26022,"ENSG00000006042","Oligodendrocyte",0.599,0.038,6.9017648529293,0.79,0.58,0,0,TRUE
"1286","CD22",933,"ENSG00000012124","Oligodendrocyte",0.794,0.113,6.70752912069418,0.883,0.766,0,0,TRUE
"1287","LOC255187",255187,NA,"Oligodendrocyte",0.424,0.067,6.69195244250551,0.691,0.382,0,0,TRUE
"1288","LOC105375483",105375483,"ENSG00000241345","Oligodendrocyte",0.636,0.312,6.67999226521424,0.735,0.47,0,0,TRUE
"1289","TMEM235",283999,"ENSG00000204278","Oligodendrocyte",0.603,0.03,6.65791828059996,0.794,0.588,0,0,TRUE
"1290","ENPP2",5168,"ENSG00000136960","Oligodendrocyte",0.987,0.289,6.63191731716614,0.986,0.972,0,0,TRUE
"1291","LOC101929249",101929249,NA,"Oligodendrocyte",0.906,0.043,6.33849763700949,0.947,0.894,0,0,FALSE
"1292","RNASE1",6035,"ENSG00000129538","Oligodendrocyte",0.816,0.061,6.30587838154045,0.897,0.794,0,0,TRUE
"1293","PPP1R14A",94274,"ENSG00000167641","Oligodendrocyte",0.789,0.043,6.28256872875038,0.886,0.772,0,0,TRUE
"1294","LOC105374211",105374211,NA,"Oligodendrocyte",0.404,0.109,6.16769038641413,0.665,0.33,0,0,FALSE
"1295","HAPLN2",60484,"ENSG00000132702","Oligodendrocyte",0.772,0.118,6.11666055780397,0.861,0.722,0,0,TRUE
"1296","ANLN",54443,"ENSG00000011426","Oligodendrocyte",0.793,0.148,6.08857734953433,0.871,0.742,0,0,TRUE
"1297","LOC100507336",100507336,"ENSG00000228793","Oligodendrocyte",0.62,0.191,6.08155166283076,0.764,0.528,0,0,FALSE
"1298","LDB3",11155,"ENSG00000122367","Oligodendrocyte",0.864,0.235,6.07969453514792,0.901,0.802,0,0,TRUE
"1299","LOC100506725",100506725,NA,"Oligodendrocyte",0.513,0.036,6.04701789640038,0.745,0.49,0,0,TRUE
"1300","GJB1",2705,"ENSG00000169562","Oligodendrocyte",0.366,0.07,6.04092976109512,0.659,0.318,0,0,TRUE
"1301","ITGA2",3673,"ENSG00000164171","Oligodendrocyte",0.628,0.126,6.00727063732399,0.783,0.566,0,0,TRUE
"1302","MBP",4155,"ENSG00000197971","Oligodendrocyte",1,0.542,5.85493727191286,0.997,0.994,0,0,TRUE
"1303","FA2H",79152,"ENSG00000103089","Oligodendrocyte",0.908,0.209,5.81663284169587,0.934,0.868,0,0,TRUE
"1304","UGT8",7368,"ENSG00000174607","Oligodendrocyte",0.944,0.133,5.77445132775793,0.957,0.914,0,0,TRUE
"1305","RNF220",55182,"ENSG00000187147","Oligodendrocyte",0.996,0.667,5.77395805369522,0.989,0.978,0,0,TRUE
"1306","DBNDD2",55861,"ENSG00000244274","Oligodendrocyte",0.611,0.129,5.77076108924954,0.777,0.554,0,0,TRUE
"1307","CNTN2",6900,"ENSG00000184144","Oligodendrocyte",0.956,0.254,5.64296203907784,0.958,0.916,0,0,TRUE
"1308","GPR37",2861,"ENSG00000170775","Oligodendrocyte",0.711,0.107,5.6413784063001,0.828,0.656,0,0,TRUE
"1309","MAL",4118,"ENSG00000172005","Oligodendrocyte",0.783,0.099,5.59602560756318,0.871,0.742,0,0,TRUE
"1310","CDH19",28513,"ENSG00000071991","Oligodendrocyte",0.593,0.133,5.54422658553602,0.761,0.522,0,0,TRUE
"1311","LRP2",4036,"ENSG00000081479","Oligodendrocyte",0.65,0.355,5.48570179030056,0.736,0.472,0,0,TRUE
"1312","SCD",6319,"ENSG00000099194","Oligodendrocyte",0.927,0.218,5.47987942512791,0.938,0.876,0,0,TRUE
"1313","PRIMA1",145270,"ENSG00000274089, ENSG00000175785","Oligodendrocyte",0.393,0.037,5.47298387870258,0.683,0.366,0,0,TRUE
"1314","FAM107B",83641,"ENSG00000065809","Oligodendrocyte",0.911,0.48,5.43955245494904,0.903,0.806,0,0,TRUE
"1315","CTNNA3",29119,"ENSG00000183230","Oligodendrocyte",1,0.939,5.43890594319066,0.994,0.988,0,0,TRUE
"1316","PPAP2C",8612,"ENSG00000141934","Oligodendrocyte",0.394,0.051,5.42975103056051,0.679,0.358,0,0,TRUE
"1317","TF",7018,"ENSG00000091513","Oligodendrocyte",0.994,0.629,5.35953987059133,0.982,0.964,0,0,TRUE
"1318","LINC01470",101927134,"ENSG00000249484","Oligodendrocyte",0.822,0.645,5.33981098298955,0.764,0.528,0,0,TRUE
"1319","ASPA",443,"ENSG00000108381","Oligodendrocyte",0.362,0.017,5.3238792125198,0.674,0.348,0,0,TRUE
"1320","HSPA2",3306,"ENSG00000126803","Oligodendrocyte",0.395,0.028,5.29649768950045,0.687,0.374,0,0,TRUE
"1321","LOC105373335",105373335,NA,"Oligodendrocyte",0.354,0.141,5.2538464416407,0.624,0.248,3.73966481410995e-295,1.88034086518263e-290,FALSE
"1322","PLEKHH1",57475,"ENSG00000054690","Oligodendrocyte",0.972,0.381,5.25316533697364,0.962,0.924,0,0,TRUE
"1323","PCSK6",5046,"ENSG00000140479","Oligodendrocyte",0.903,0.339,5.2227176561572,0.908,0.816,0,0,TRUE
"1324","SLC31A2",1318,"ENSG00000136867","Oligodendrocyte",0.641,0.131,5.18658398123933,0.786,0.572,0,0,TRUE
"1325","LURAP1L.AS1",NA,NA,"Oligodendrocyte",0.495,0.152,5.1606439388951,0.699,0.398,0,0,FALSE
"1326","NINJ2",4815,"ENSG00000171840","Oligodendrocyte",0.593,0.218,5.14061863604745,0.734,0.468,0,0,TRUE
"1327","CLMN",79789,"ENSG00000165959","Oligodendrocyte",0.936,0.267,5.12671757403846,0.939,0.878,0,0,TRUE
"1328","CNP",1267,"ENSG00000173786","Oligodendrocyte",0.646,0.128,5.02097868407383,0.787,0.574,0,0,TRUE
"1329","LOC102724312",102724312,NA,"Oligodendrocyte",0.387,0.008,5.00888223430392,0.691,0.382,0,0,FALSE
"1330","CDK18",5129,"ENSG00000117266","Oligodendrocyte",0.917,0.254,4.99874976986426,0.923,0.846,0,0,TRUE
"1331","PRR5L",79899,"ENSG00000135362","Oligodendrocyte",0.733,0.202,4.98592047824377,0.822,0.644,0,0,TRUE
"1332","CDH1",999,"ENSG00000039068","Oligodendrocyte",0.593,0.377,4.98153852074175,0.674,0.348,0,0,TRUE
"1333","EVI2A",2123,"ENSG00000126860","Oligodendrocyte",0.622,0.144,4.97811902419032,0.772,0.544,0,0,TRUE
"1334","LINC00844",100507008,NA,"Oligodendrocyte",0.617,0.076,4.9400833980404,0.787,0.574,0,0,FALSE
"1335","ADAMTS4",9507,"ENSG00000158859","Oligodendrocyte",0.351,0.044,4.91478105473796,0.659,0.318,0,0,TRUE
"1336","TMEM63A",9725,"ENSG00000196187","Oligodendrocyte",0.907,0.178,4.90179620243646,0.927,0.854,0,0,TRUE
"1337","HPN.AS1",NA,NA,"Oligodendrocyte",0.461,0.122,4.8875644887255,0.691,0.382,0,0,FALSE
"1338","CAPN3",825,"ENSG00000092529","Oligodendrocyte",0.806,0.228,4.87871873718974,0.86,0.72,0,0,TRUE
"1339","LOC100287225",100287225,"ENSG00000227115","Oligodendrocyte",0.618,0.217,4.86569287162301,0.747,0.494,0,0,FALSE
"1340","LINC01170",103724389,NA,"Oligodendrocyte",0.769,0.416,4.81693142836233,0.799,0.598,0,0,FALSE
"1341","SEPP1",6414,"ENSG00000250722","Oligodendrocyte",0.492,0.069,4.78788174035314,0.723,0.446,0,0,TRUE
"1342","C10orf90",118611,"ENSG00000154493","Oligodendrocyte",0.938,0.264,4.76113197772091,0.938,0.876,0,0,TRUE
"1343","LOC100507377",100507377,"ENSG00000251138","Oligodendrocyte",0.393,0.116,4.7455986354189,0.655,0.31,0,0,FALSE
"1344","LRRC63",220416,"ENSG00000173988","Oligodendrocyte",0.537,0.171,4.73873346417264,0.713,0.426,0,0,TRUE
"1345","C21orf91",54149,"ENSG00000154642","Oligodendrocyte",0.368,0.048,4.72577570565299,0.666,0.332,0,0,TRUE
"1346","DOCK5",80005,"ENSG00000147459","Oligodendrocyte",0.971,0.488,4.68613743927211,0.951,0.902,0,0,TRUE
"1347","LINC00639",283547,"ENSG00000259070","Oligodendrocyte",0.701,0.206,4.66963526600537,0.803,0.606,0,0,TRUE
"1348","LOC105374213",105374213,NA,"Oligodendrocyte",0.435,0.134,4.66222343708445,0.667,0.334,1.19035592914563e-276,5.98522864733715e-272,FALSE
"1349","QDPR",5860,"ENSG00000151552","Oligodendrocyte",0.907,0.449,4.65351324344715,0.892,0.784,0,0,TRUE
"1350","LOC100130370",100130370,NA,"Oligodendrocyte",0.461,0.051,4.62464320501766,0.711,0.422,0,0,TRUE
"1351","GALNT6",11226,"ENSG00000139629","Oligodendrocyte",0.44,0.115,4.59296882822278,0.68,0.36,0,0,TRUE
"1352","CA2",760,"ENSG00000104267","Oligodendrocyte",0.777,0.193,4.58934104777552,0.845,0.69,0,0,TRUE
"1353","TMEM144",55314,"ENSG00000164124","Oligodendrocyte",0.988,0.364,4.58561429435091,0.972,0.944,0,0,TRUE
"1354","PI16",221476,"ENSG00000164530","Oligodendrocyte",0.393,0.076,4.5602833835863,0.669,0.338,0,0,TRUE
"1355","CMTM5",116173,"ENSG00000166091","Oligodendrocyte",0.409,0.024,4.55548602138172,0.694,0.388,0,0,TRUE
"1356","ERBB3",2065,"ENSG00000065361","Oligodendrocyte",0.716,0.178,4.54356678347221,0.815,0.63,0,0,TRUE
"1357","ABCA2",20,"ENSG00000107331","Oligodendrocyte",0.951,0.439,4.54272126913228,0.928,0.856,0,0,TRUE
"1358","FRMD4B",23150,"ENSG00000114541","Oligodendrocyte",0.99,0.639,4.53476934798458,0.967,0.934,0,0,TRUE
"1359","CLDND1",56650,"ENSG00000080822","Oligodendrocyte",0.916,0.461,4.53272502743692,0.901,0.802,0,0,TRUE
"1360","KCNH8",131096,"ENSG00000183960","Oligodendrocyte",0.956,0.474,4.51214278124511,0.938,0.876,0,0,TRUE
"1361","PIEZO2",63895,"ENSG00000154864","Oligodendrocyte",0.866,0.583,4.46444520795481,0.832,0.664,0,0,TRUE
"1362","LOC101927641",101927641,"ENSG00000238217","Oligodendrocyte",0.353,0.118,4.44056079994595,0.63,0.26,1.46040668681435e-225,7.34307086197122e-221,FALSE
"1363","SHROOM4",57477,"ENSG00000158352","Oligodendrocyte",0.885,0.261,4.42196307651212,0.902,0.804,0,0,TRUE
"1364","SPATA22",84690,"ENSG00000141255","Oligodendrocyte",0.663,0.441,4.40278584685626,0.705,0.41,0,0,TRUE
"1365","CRYAB",1410,"ENSG00000109846","Oligodendrocyte",0.837,0.283,4.34536001690159,0.872,0.744,0,0,TRUE
"1366","LINC00609",101101773,"ENSG00000257585","Oligodendrocyte",0.784,0.244,4.32371567947137,0.84,0.68,0,0,TRUE
"1367","PLA2G16",11145,"ENSG00000176485","Oligodendrocyte",0.678,0.214,4.31987190582659,0.783,0.566,0,0,TRUE
"1368","SLC44A1",23446,"ENSG00000070214","Oligodendrocyte",0.999,0.808,4.31320422278391,0.991,0.982,0,0,TRUE
"1369","GLDN",342035,"ENSG00000186417","Oligodendrocyte",0.873,0.229,4.28433503281205,0.897,0.794,0,0,TRUE
"1370","PIP4K2A",5305,"ENSG00000150867","Oligodendrocyte",0.994,0.694,4.25723139450406,0.972,0.944,0,0,TRUE
"1371","LPAR1",1902,"ENSG00000198121","Oligodendrocyte",0.91,0.239,4.1984730367224,0.917,0.834,0,0,TRUE
"1372","ZDHHC9",51114,"ENSG00000188706","Oligodendrocyte",0.705,0.29,4.19107905032935,0.772,0.544,0,0,TRUE
"1373","PMP22",5376,"ENSG00000109099","Oligodendrocyte",0.737,0.19,4.18807097054649,0.818,0.636,0,0,TRUE
"1374","MAP6D1",79929,"ENSG00000180834","Oligodendrocyte",0.423,0.126,4.16497984762835,0.665,0.33,3.62324797768581e-289,1.8218053156602e-284,TRUE
"1375","ENPP6",133121,"ENSG00000164303","Oligodendrocyte",0.387,0.257,4.15851035794151,0.593,0.186,4.59736987771195e-213,2.31160354821235e-208,TRUE
"1376","FAM124A",220108,"ENSG00000150510","Oligodendrocyte",0.726,0.24,4.15693727448536,0.8,0.6,0,0,TRUE
"1377","TTYH2",94015,"ENSG00000141540","Oligodendrocyte",0.855,0.216,4.15353233732638,0.884,0.768,0,0,TRUE
"1378","NKX6.2",NA,NA,"Oligodendrocyte",0.458,0.004,4.14547374635994,0.727,0.454,0,0,FALSE
"1379","PLEKHG3",26030,"ENSG00000126822","Oligodendrocyte",0.506,0.107,4.08349400354412,0.716,0.432,0,0,TRUE
"1380","HSD17B3",3293,"ENSG00000130948","Oligodendrocyte",0.452,0.181,4.06873520344268,0.661,0.322,6.45331863625719e-303,3.24479314349648e-298,TRUE
"1381","PLLP",51090,"ENSG00000102934","Oligodendrocyte",0.807,0.172,4.06354205832785,0.861,0.722,0,0,TRUE
"1382","LOC101927199",101927199,NA,"Oligodendrocyte",0.53,0.095,4.06155574809237,0.731,0.462,0,0,FALSE
"1383","PXK",54899,"ENSG00000168297","Oligodendrocyte",0.989,0.746,4.0575700106959,0.956,0.912,0,0,TRUE
"1384","KIF6",221458,"ENSG00000164627","Oligodendrocyte",0.785,0.503,4.05541685617916,0.774,0.548,0,0,TRUE
"1385","BOK",666,"ENSG00000176720","Oligodendrocyte",0.368,0.089,4.02514503991207,0.649,0.298,6.91305676517063e-273,3.47595407209545e-268,TRUE
"1386","VWA1",64856,"ENSG00000179403","Oligodendrocyte",0.363,0.046,4.0149888039777,0.662,0.324,1.47995982260727e-314,7.44138598405164e-310,TRUE
"1387","TRPM1",4308,"ENSG00000274965, ENSG00000134160","Oligodendrocyte",0.354,0.279,4.01022984723505,0.558,0.116,5.53041072542258e-132,2.78074581684972e-127,FALSE
"1388","TMEM165",55858,"ENSG00000134851","Oligodendrocyte",0.961,0.561,4.00882772753796,0.923,0.846,0,0,TRUE
"1389","CDKN1C",1028,"ENSG00000273707, ENSG00000129757","Oligodendrocyte",0.365,0.043,4.0068290585567,0.665,0.33,0,0,TRUE
"1390","SPP1",6696,"ENSG00000118785","Oligodendrocyte",0.827,0.147,3.99116094238374,0.877,0.754,0,0,TRUE
"1391","CBR1",873,"ENSG00000159228","Oligodendrocyte",0.504,0.164,3.97057675827972,0.698,0.396,0,0,TRUE
"1392","NKAIN1",79570,"ENSG00000084628","Oligodendrocyte",0.529,0.381,3.95233438826193,0.623,0.246,1.22557626586704e-235,6.16232002240609e-231,TRUE
"1393","PLD1",5337,"ENSG00000075651","Oligodendrocyte",0.896,0.383,3.92847537690812,0.894,0.788,0,0,TRUE
"1394","PHLDB1",23187,"ENSG00000019144","Oligodendrocyte",0.934,0.431,3.92264052223249,0.909,0.818,0,0,TRUE
"1395","TRPM6",140803,"ENSG00000119121","Oligodendrocyte",0.46,0.311,3.90659401507497,0.608,0.216,3.47094583909229e-209,1.745226277354e-204,TRUE
"1396","LARP6",55323,"ENSG00000166173","Oligodendrocyte",0.521,0.231,3.90620838511655,0.68,0.36,1.06276973040492e-285,5.34371248144897e-281,TRUE
"1397","ELOVL1",64834,"ENSG00000066322","Oligodendrocyte",0.49,0.134,3.90157802769406,0.693,0.386,1.67284399144061e-297,8.41122687336255e-293,TRUE
"1398","RASGRP3",25780,"ENSG00000152689","Oligodendrocyte",0.686,0.412,3.88083017980615,0.725,0.45,0,0,TRUE
"1399","APLP1",333,"ENSG00000105290","Oligodendrocyte",0.944,0.615,3.84182340933234,0.905,0.81,0,0,TRUE
"1400","TSPAN15",23555,"ENSG00000099282","Oligodendrocyte",0.533,0.204,3.84016799291066,0.699,0.398,0,0,TRUE
"1401","SEMA3B",7869,"ENSG00000012171","Oligodendrocyte",0.576,0.078,3.83870185517322,0.757,0.514,0,0,TRUE
"1402","CREB5",9586,"ENSG00000146592","Oligodendrocyte",0.973,0.659,3.83842347103578,0.926,0.852,0,0,TRUE
"1403","RHOU",58480,"ENSG00000284984, ENSG00000116574","Oligodendrocyte",0.819,0.487,3.82204235385324,0.78,0.56,0,0,TRUE
"1404","NDRG1",10397,"ENSG00000104419","Oligodendrocyte",0.858,0.325,3.77599454712975,0.861,0.722,0,0,TRUE
"1405","BCAS1",8537,"ENSG00000064787","Oligodendrocyte",0.939,0.261,3.76663527778049,0.923,0.846,0,0,TRUE
"1406","LDLRAP1",26119,"ENSG00000157978","Oligodendrocyte",0.363,0.114,3.75453720700086,0.638,0.276,1.81813458984535e-253,9.14176253120141e-249,TRUE
"1407","FRK",2444,"ENSG00000111816","Oligodendrocyte",0.407,0.275,3.75052757947838,0.598,0.196,8.9545443511677e-207,4.50243444521063e-202,TRUE
"1408","MYO1E",4643,"ENSG00000157483","Oligodendrocyte",0.862,0.525,3.73130189165914,0.833,0.666,0,0,TRUE
"1409","KCNJ2",3759,"ENSG00000123700","Oligodendrocyte",0.477,0.101,3.72507188218073,0.697,0.394,5.00375954719082e-307,2.51594033792302e-302,TRUE
"1410","LOC101928277",101928277,NA,"Oligodendrocyte",0.569,0.45,3.71187050487096,0.607,0.214,6.09710769595395e-164,3.06568672060261e-159,FALSE
"1411","PALM2",114299,NA,"Oligodendrocyte",0.799,0.508,3.70293951176014,0.779,0.558,0,0,TRUE
"1412","TMTC4",84899,"ENSG00000125247","Oligodendrocyte",0.705,0.335,3.70231082835575,0.754,0.508,0,0,TRUE
"1413","PDE8A",5151,"ENSG00000073417","Oligodendrocyte",0.991,0.768,3.68345399762655,0.95,0.9,0,0,TRUE
"1414","PLCL1",5334,"ENSG00000115896","Oligodendrocyte",0.988,0.76,3.67464111579032,0.938,0.876,0,0,TRUE
"1415","LINC00320",387486,"ENSG00000224924","Oligodendrocyte",0.582,0.229,3.67170549201461,0.71,0.42,6.65049590338749e-295,3.34393584518226e-290,TRUE
"1416","CHADL",150356,"ENSG00000100399","Oligodendrocyte",0.374,0.097,3.6715982691721,0.649,0.298,1.20153371494197e-252,6.04143167209971e-248,TRUE
"1417","LINC01105",150622,NA,"Oligodendrocyte",0.591,0.162,3.6504888710635,0.739,0.478,0,0,FALSE
"1418","GPRC5B",51704,"ENSG00000167191","Oligodendrocyte",0.885,0.285,3.62559613111722,0.88,0.76,0,0,TRUE
"1419","EDIL3",10085,"ENSG00000164176","Oligodendrocyte",0.997,0.735,3.61986835456103,0.966,0.932,0,0,TRUE
"1420","NDE1",54820,"ENSG00000275911, ENSG00000072864","Oligodendrocyte",0.587,0.354,3.61898296397183,0.677,0.354,0,0,TRUE
"1421","TMCC2",9911,"ENSG00000133069","Oligodendrocyte",0.398,0.183,3.59583466230892,0.626,0.252,2.95589248241109e-179,1.48625229908112e-174,FALSE
"1422","SLC35D2",11046,"ENSG00000130958, ENSG00000285269","Oligodendrocyte",0.728,0.415,3.58508219569427,0.753,0.506,0,0,FALSE
"1423","GLTP",51228,"ENSG00000139433","Oligodendrocyte",0.628,0.284,3.57974510710516,0.72,0.44,0,0,FALSE
"1424","LLGL2",3993,"ENSG00000073350","Oligodendrocyte",0.425,0.23,3.57532479077813,0.627,0.254,1.48241552501733e-247,7.45373350133966e-243,FALSE
"1425","GSN.AS1",NA,NA,"Oligodendrocyte",0.404,0.059,3.56675308113909,0.677,0.354,2.77525853502794e-315,1.3954277439974e-310,FALSE
"1426","SYNJ2",8871,"ENSG00000078269","Oligodendrocyte",0.916,0.54,3.5631989576764,0.862,0.724,0,0,FALSE
"1427","GREB1L",80000,"ENSG00000141449","Oligodendrocyte",0.801,0.661,3.56053781760614,0.715,0.43,0,0,FALSE
"1428","CNKSR3",154043,"ENSG00000153721","Oligodendrocyte",0.63,0.353,3.55427369907392,0.703,0.406,0,0,FALSE
"1429","TMTC2",160335,"ENSG00000179104","Oligodendrocyte",0.992,0.777,3.50335621921046,0.949,0.898,0,0,FALSE
"1430","LITAF",9516,"ENSG00000189067","Oligodendrocyte",0.574,0.392,3.49242529183306,0.653,0.306,1.53543805311685e-299,7.72033607487684e-295,FALSE
"1431","TMC7",79905,"ENSG00000170537","Oligodendrocyte",0.718,0.55,3.48798888805962,0.68,0.36,6.63470213155779e-303,3.33599457876857e-298,FALSE
"1432","SEPT4",5414,"ENSG00000108387","Oligodendrocyte",0.818,0.394,3.48591417061764,0.816,0.632,0,0,FALSE
"1433","SLC48A1",55652,"ENSG00000211584","Oligodendrocyte",0.596,0.23,3.48341801660121,0.721,0.442,0,0,FALSE
"1434","PTGDS",5730,"ENSG00000107317","Oligodendrocyte",0.995,0.412,3.47913437884661,0.951,0.902,0,0,FALSE
"1435","DAPK2",23604,"ENSG00000035664","Oligodendrocyte",0.454,0.258,3.47429103693398,0.631,0.262,5.73007380694423e-215,2.88113841086963e-210,FALSE
"1436","KIF13B",23303,"ENSG00000197892","Oligodendrocyte",0.892,0.563,3.44352191240079,0.836,0.672,0,0,FALSE
"1437","EFHD1",80303,"ENSG00000115468","Oligodendrocyte",0.663,0.341,3.43024953570875,0.727,0.454,0,0,FALSE
"1438","ABTB2",25841,"ENSG00000166016","Oligodendrocyte",0.637,0.392,3.42246956195094,0.695,0.39,0,0,FALSE
"1439","DFNB31",25861,"ENSG00000095397","Oligodendrocyte",0.66,0.226,3.41997782824535,0.753,0.506,0,0,FALSE
"1440","KLHL4",56062,"ENSG00000102271","Oligodendrocyte",0.715,0.446,3.41097018464394,0.732,0.464,0,0,FALSE
"1441","TJAP1",93643,"ENSG00000137221","Oligodendrocyte",0.596,0.273,3.40382762049296,0.708,0.416,0,0,FALSE
"1442","SRCIN1",80725,"ENSG00000273608, ENSG00000277363","Oligodendrocyte",0.923,0.638,3.39854162450068,0.842,0.684,0,0,FALSE
"1443","USP54",159195,"ENSG00000166348","Oligodendrocyte",0.845,0.55,3.39809816834822,0.805,0.61,0,0,FALSE
"1444","LAMP2",3920,"ENSG00000005893","Oligodendrocyte",0.91,0.57,3.39570194694708,0.858,0.716,0,0,FALSE
"1445","TBC1D2",55357,"ENSG00000095383","Oligodendrocyte",0.479,0.25,3.38708864950406,0.647,0.294,1.11725126960185e-219,5.61765110868508e-215,FALSE
"1446","TFEB",7942,"ENSG00000112561","Oligodendrocyte",0.554,0.135,3.37920386338584,0.729,0.458,0,0,FALSE
"1447","MARCKSL1",65108,"ENSG00000175130","Oligodendrocyte",0.579,0.193,3.37328255088247,0.726,0.452,0,0,FALSE
"1448","SEC14L5",9717,"ENSG00000103184","Oligodendrocyte",0.787,0.535,3.36708114273548,0.751,0.502,0,0,FALSE
"1449","LOC101927768",101927768,"ENSG00000228624","Oligodendrocyte",0.556,0.316,3.36696723419867,0.665,0.33,3.51076834965254e-243,1.76524943388879e-238,FALSE
"1450","PAPL",390928,"ENSG00000183760","Oligodendrocyte",0.412,0.367,3.36314241842353,0.551,0.102,3.06623308376001e-137,1.54173265684537e-132,FALSE
"1451","SMC4",10051,"ENSG00000113810","Oligodendrocyte",0.439,0.158,3.35167278571732,0.658,0.316,3.15330742760881e-230,1.58551450767599e-225,FALSE
"1452","VRK2",7444,"ENSG00000028116","Oligodendrocyte",0.668,0.259,3.33017166941652,0.759,0.518,0,0,FALSE
"1453","LOC105374461",105374461,"ENSG00000237320","Oligodendrocyte",0.393,0.154,3.32642993124098,0.637,0.274,3.12363658476496e-229,1.57059571118567e-224,FALSE
"1454","DAAM2",23500,"ENSG00000146122","Oligodendrocyte",0.839,0.236,3.31915640276662,0.857,0.714,0,0,FALSE
"1455","FRMD5",84978,"ENSG00000171877","Oligodendrocyte",0.997,0.888,3.31871429032771,0.96,0.92,0,0,FALSE
"1456","SLC24A2",25769,"ENSG00000155886","Oligodendrocyte",0.999,0.786,3.31598398996269,0.966,0.932,0,0,FALSE
"1457","RTKN",6242,"ENSG00000114993","Oligodendrocyte",0.358,0.069,3.31579604983645,0.65,0.3,2.3251133195092e-248,1.16909022818242e-243,FALSE
"1458","SLCO3A1",28232,"ENSG00000176463","Oligodendrocyte",0.97,0.722,3.31138647878063,0.9,0.8,0,0,FALSE
"1459","IPO13",9670,"ENSG00000117408","Oligodendrocyte",0.558,0.255,3.26153579734253,0.689,0.378,1.97153726168536e-264,9.91308650548017e-260,FALSE
"1460","ZNF536",9745,"ENSG00000198597","Oligodendrocyte",0.989,0.716,3.2511132228309,0.926,0.852,0,0,FALSE
"1461","EMC10",284361,"ENSG00000161671","Oligodendrocyte",0.671,0.401,3.24664951919159,0.702,0.404,2.44283719541754e-290,1.2282829702279e-285,FALSE
"1462","TMC6",11322,"ENSG00000141524","Oligodendrocyte",0.384,0.059,3.24405965277393,0.667,0.334,2.73380462093591e-304,1.37458430145278e-299,FALSE
"1463","HHIP",64399,"ENSG00000164161","Oligodendrocyte",0.986,0.97,3.2366628795889,0.778,0.556,0,0,FALSE
"1464","LOC105369826",105369826,NA,"Oligodendrocyte",0.453,0.188,3.23334888798577,0.653,0.306,7.4476171226297e-194,3.74473636542944e-189,FALSE
"1465","MAN2A1",4124,"ENSG00000112893","Oligodendrocyte",0.988,0.738,3.22689545152551,0.929,0.858,0,0,FALSE
"1466","FGFR2",2263,"ENSG00000066468","Oligodendrocyte",0.903,0.391,3.22163473762908,0.872,0.744,0,0,FALSE
"1467","LOC105374460",105374460,NA,"Oligodendrocyte",0.384,0.095,3.20983792944192,0.652,0.304,1.96453833681712e-228,9.87789521135016e-224,FALSE
"1468","PRUNE2",158471,"ENSG00000106772","Oligodendrocyte",0.941,0.727,3.20637330018503,0.854,0.708,0,0,FALSE
"1469","FAXDC2",10826,"ENSG00000170271","Oligodendrocyte",0.702,0.342,3.20592220443742,0.75,0.5,0,0,FALSE
"1470","PRRG1",5638,"ENSG00000130962","Oligodendrocyte",0.597,0.35,3.20115457860554,0.683,0.366,9.59602363352983e-264,4.82497664317514e-259,FALSE
"1471","AFMID",125061,"ENSG00000183077","Oligodendrocyte",0.501,0.295,3.19990566966211,0.641,0.282,1.02025241620972e-220,5.12993117394411e-216,FALSE
"1472","SLAIN1",122060,"ENSG00000139737","Oligodendrocyte",0.915,0.632,3.17839778892388,0.849,0.698,0,0,FALSE
"1473","AMER2",219287,"ENSG00000165566","Oligodendrocyte",0.77,0.408,3.17600774220918,0.778,0.556,0,0,FALSE
"1474","DPYSL5",56896,"ENSG00000157851","Oligodendrocyte",0.669,0.554,3.1668226470841,0.65,0.3,3.89795999910278e-214,1.95993326714887e-209,FALSE
"1475","PLEKHB1",58473,"ENSG00000021300","Oligodendrocyte",0.679,0.195,3.15792708682682,0.767,0.534,0,0,FALSE
"1476","LGI3",203190,"ENSG00000168481","Oligodendrocyte",0.469,0.231,3.15708874053502,0.645,0.29,4.01775366724227e-195,2.02016672142609e-190,FALSE
"1477","TMEM151A",256472,"ENSG00000179292","Oligodendrocyte",0.356,0.173,3.1515385572148,0.608,0.216,8.77456605198808e-161,4.41193955660013e-156,FALSE
"1478","CPNE2",221184,"ENSG00000140848","Oligodendrocyte",0.55,0.242,3.14842868451792,0.691,0.382,1.52365176073912e-286,7.66107341817235e-282,FALSE
"1479","PSEN1",5663,"ENSG00000080815","Oligodendrocyte",0.896,0.62,3.14751814952123,0.828,0.656,0,0,FALSE
