"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"235","LOC101928387",101928387,NA,"Neuronal",0.934,0.352,2.52117810777693,0.91,0.82,0,0
"236","LOC101929249",101929249,NA,"Non-neuronal",0.434,0.01,4.89845396531069,0.714,0.428,0,0
"237","LOC101929544",101929544,NA,"Neuronal",0.595,0.074,3.18820627385714,0.777,0.554,0,0
"238","LOC101929617",101929617,NA,"Neuronal",0.448,0.008,2.76162668746267,0.72,0.44,0,0
"239","LOC102546299",102546299,NA,"Neuronal",0.491,0.198,2.83400507643601,0.662,0.324,0,0
"240","LOC102723658",102723658,NA,"Neuronal",0.416,0.049,2.70014735480885,0.689,0.378,0,0
"241","LOC105369172",105369172,NA,"Neuronal",0.508,0.013,2.80217389828725,0.749,0.498,0,0
"242","LOC105369334",105369334,NA,"Neuronal",0.395,0.011,3.33122622458346,0.694,0.388,0,0
"243","LOC105369345",105369345,NA,"Non-neuronal",0.808,0.388,2.79000233980022,0.825,0.65,0,0
"244","LOC105369862",105369862,NA,"Neuronal",0.635,0.004,3.32097711353615,0.816,0.632,0,0
"245","LOC105370359",105370359,NA,"Non-neuronal",0.401,0.458,2.61017638525493,0.495,0.01,1.60242884019386e-72,8.05717245137873e-68
"246","LOC105370610",105370610,NA,"Neuronal",0.673,0.255,3.30585046923209,0.744,0.488,0,0
"247","LOC105371255",105371255,NA,"Non-neuronal",0.353,0.092,2.81306476394517,0.64,0.28,0,0
