"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"711","LOC105374971",105374971,NA,"IT",0.645,0.36,4.05966436961882,0.695,0.39,0,0
"712","LOC105374972",105374972,NA,"IT",0.366,0.066,3.70286236449953,0.659,0.318,0,0
"713","LOC105375405",105375405,NA,"Astrocyte",0.355,0.049,2.50144968470938,0.656,0.312,1.02520551237084e-227,5.15483583675181e-223
"714","LOC105375415",105375415,NA,"VIP",0.827,0.126,2.55180096361316,0.873,0.746,0,0
"715","LOC105375483",105375483,NA,"Oligodendrocyte",0.636,0.376,4.55989092942902,0.723,0.446,0,0
"716","LOC105375557",105375557,NA,"PVALB",0.462,0.351,2.50114620928902,0.572,0.144,1.90858967721158e-252,9.59657975598754e-248
"717","LOC105375920",105375920,NA,"VLMC",0.727,0.356,3.23189195465355,0.755,0.51,1.58313563014165e-19,7.96016426191522e-15
"718","LOC105375929",105375929,NA,"IT",0.374,0.134,2.81921167527793,0.633,0.266,0,0
"719","LOC105375931",105375931,NA,"IT",0.617,0.317,3.00697832407922,0.695,0.39,0,0
"720","LOC105375943",105375943,NA,"Microglia",0.148,0.393,2.80144036056907,0.395,0.21,0,0
"721","LOC105375974",105375974,NA,"IT",0.388,0.254,2.77757189498353,0.575,0.15,1.35627804798338e-222,6.81950165306523e-218
"722","LOC105376102",105376102,NA,"L5/6 NP",0.603,0.065,3.58828898399396,0.784,0.568,4.75812411753243e-247,2.39243238753648e-242
"723","LOC105376103",105376103,NA,"L5/6 NP",0.584,0.096,3.42668553900323,0.766,0.532,5.11205570354372e-251,2.57039272829882e-246
"724","LOC105376219",105376219,NA,"Microglia",0.425,0.367,4.16395126923449,0.584,0.168,0,0
"725","LOC105376244",105376244,NA,"Astrocyte",0.646,0.069,3.30979364810904,0.804,0.608,0,0
"726","LOC105376287",105376287,NA,"Microglia",0.36,0.239,2.77494833144147,0.592,0.184,1.68306980399423e-281,8.4626432814634e-277
"727","LOC105376325",105376325,NA,"Endothelial",0.3,0.361,2.51126688130726,0.499,0.002,2.10758581044927e-27,1.059715221352e-22
"728","LOC105376387",105376387,NA,"Astrocyte",0.799,0.465,2.67747178856587,0.809,0.618,0,0
"729","LOC105376388",105376388,NA,"Microglia",0.444,0.029,6.0332372587659,0.714,0.428,0,0
"730","LOC105376457",105376457,NA,"L5 ET",0.792,0.111,3.40480273714484,0.876,0.752,5.86845682361178e-46,2.95071877548024e-41
"731","LOC105376460",105376460,NA,"L5 ET",0.583,0.006,2.61840496806008,0.789,0.578,1.96739564645988e-24,9.89226204996494e-20
"732","LOC105376481",105376481,NA,"VLMC",0.636,0.278,4.1408810613002,0.752,0.504,1.02123187268587e-13,5.13485597905181e-09
"733","LOC105376501",105376501,NA,"IT",0.495,0.059,2.52664332763242,0.726,0.452,0,0
"734","LOC105376603",105376603,NA,"Microglia",0.625,0.211,5.9959542112665,0.769,0.538,0,0
"735","LOC105376640",105376640,NA,"VLMC",0.364,0.25,2.79216596748778,0.583,0.166,0.0399888780381244,1
"736","LOC105376908",105376908,NA,"Microglia",0.485,0.391,2.9160356933652,0.607,0.214,0,0
"737","LOC105376917",105376917,NA,"Astrocyte",0.774,0.243,4.73512449150407,0.85,0.7,0,0
"738","LOC105377181",105377181,NA,"L6b",0.387,0.024,2.98289340266737,0.685,0.37,1.5576407506548e-161,7.83197345836739e-157
"739","LOC105377183",105377183,NA,"L6b",0.533,0.057,3.4495004922064,0.749,0.498,1.40160029068973e-240,7.04738642161705e-236
"740","LOC105377632",105377632,NA,"OPC",0.93,0.678,2.76805811992637,0.885,0.77,0,0
"741","LOC105377684",105377684,NA,"Microglia",0.788,0.215,4.69700220698717,0.858,0.716,0,0
