"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL22",2.01576371715688,-0.0318394296327539,0.286894779986101,-0.110979466528796,0.911632629471695,0.990512677498131
"RNF207",0.904459786517548,0.551389301240504,0.399130175282922,1.38147736098794,0.167132233983675,0.990512677498131
"ICMT",1.12993586296119,0.00877589440533864,0.364961943662778,0.0240460534522128,0.980815873970894,0.998216602623193
"GPR153",0.819916717781698,0.311918475091639,0.482200280419194,0.646864980709836,0.517719332131874,0.990512677498131
"ACOT7",4.14323454532588,-0.0138332869620864,0.20687719186553,-0.0668671439192679,0.946687469829149,0.994272453442367
"HES2",0.041130754032249,0.705412081674374,3.0281558508036,0.232951048899011,0.81579941738097,0.990512677498131
"ESPN",0.0458430444753142,0.775831300385789,3.02824555663926,0.256198279127273,0.797797737356179,0.990512677498131
"TNFRSF25",0.711615905122291,0.0402309485781227,0.432894005412036,0.0929348710657941,0.925955302512313,0.991949035622127
"PLEKHG5",0.410915685160179,-0.408743456277566,0.521924496111975,-0.783146718198627,0.433540959422388,0.990512677498131
"NOL9",1.10073976312042,0.0903602812328337,0.301848257232818,0.299356643835575,0.764667939353254,0.990512677498131
"TAS1R1",0.0728963744981644,0.681574838748943,3.02622833116237,0.225222542440197,0.821806153581589,0.990512677498131
"ZBTB48",0.485185680399429,-0.386177650322815,0.512539982252342,-0.753458586051703,0.451174388732271,0.990512677498131
"KLHL21",1.9343024697056,0.320235778037741,0.327669102397798,0.977314539864571,0.328413457002827,0.990512677498131
"PHF13",0.37598002314424,0.184049674247758,0.573912036264541,0.320693177034052,0.748442918358312,0.990512677498131
"THAP3",0.476089688435725,0.0160662378129383,0.537491995247619,0.0298911201561925,0.976153887775477,0.997719944482739
"DNAJC11",2.19543565190602,-0.0290926171238687,0.222729846252044,-0.130618404373822,0.896077182879176,0.990512677498131
"CAMTA1",31.7867985009132,0.0449276900326634,0.0745534635422791,0.602623780277961,0.546758996895177,0.990512677498131
"VAMP3",0.502434339996532,0.506698756334324,0.53964488743643,0.938948497671096,0.34775718754756,0.990512677498131
"PER3",4.7485575671826,-0.192058600809749,0.205176197219287,-0.936066675436436,0.34923885955145,0.990512677498131
"UTS2",0.0246510679046378,0.730889515146057,3.02870817240192,0.241320547752352,0.809306686611502,0.990512677498131
"TNFRSF9",0,NA,NA,NA,NA,NA
"PARK7",3.96300179303429,-0.116635550334658,0.320995278236634,-0.363355968895827,0.716338988961572,0.990512677498131
"ERRFI1",1.40018703871811,-0.163885045766283,0.354837502089376,-0.461859428051673,0.644182130549901,0.990512677498131
"SLC45A1",1.16484640680723,0.464420451595046,0.360149351340234,1.28952183272519,0.19721673113451,0.990512677498131
"RERE",21.0627594009031,-0.014135743284293,0.0935213235871883,-0.15114994893239,0.879857431531981,0.990512677498131
"ENO1",4.7710126717439,0.279802436611853,0.258243658296863,1.08348231455972,0.278594396621475,0.990512677498131
"CA6",0.0235086892033337,1.02391273191727,3.02828110955842,0.338116804508475,0.735275167380029,0.990512677498131
"SLC2A7",0.00564156553168807,0.696673109765631,3.02865364616754,0.230027329353821,0.818070533312379,0.990512677498131
"SLC2A5",0.554742128920976,0.610807718745531,0.682136302173669,0.895433532564026,0.370555382045818,0.990512677498131
"GPR157",0.0714233874685749,0.364587949471675,3.02636179455655,0.120470708468317,0.904110281883726,0.990512677498131
"H6PD",0.564330004720989,-0.120778146026189,0.459614526682762,-0.262781394004009,0.792719077116668,0.990512677498131
"SPSB1",0.287941631107537,0.412479023127871,0.756563954515491,0.545200469393266,0.585615648730543,0.990512677498131
"SLC25A33",1.0298245555994,0.278741875563442,0.303265124607967,0.919135940618869,0.358024472449512,0.990512677498131
"TMEM201",0.588342687333994,-0.413302487895462,0.47503838847259,-0.870040186066582,0.384278443353512,0.990512677498131
"PIK3CD",2.09173506246015,-0.00646321227624923,0.274688198919581,-0.0235292680998699,0.981228092376222,0.998216602623193
"CLSTN1",20.9213895051409,0.119333391869726,0.110065288681447,1.08420550474458,0.278273691499409,0.990512677498131
"AL357140.1",0,NA,NA,NA,NA,NA
"CTNNBIP1",1.32441633641129,0.1519663646351,0.306490110833089,0.49582795419412,0.620015800406586,0.990512677498131
"LZIC",0.955368629185804,-0.392871026448192,0.34711706131427,-1.13181134041838,0.257713758965324,0.990512677498131
"NMNAT1",1.0032974654064,-0.260546054830463,0.364222774712061,-0.715348058716096,0.474393999230157,0.990512677498131
"RBP7",0.0388809005565692,0.688920790480714,3.02793848389195,0.227521395875656,0.820018333946293,0.990512677498131
"UBE4B",7.31501233196066,-0.209795703095587,0.129557485243655,-1.61932521846213,0.105377307425914,0.990512677498131
"KIF1B",18.5746714912921,-0.0850332569765966,0.117919125526246,-0.721115057435445,0.470838727545779,0.990512677498131
"PGD",1.11972893670468,0.181376401826273,0.344540531660343,0.526429796088776,0.598589617848336,0.990512677498131
"APITD1-CORT",0.158170319113393,0.465273527922061,1.30904582416656,0.355429519221216,0.722267837524628,0.990512677498131
"DFFA",1.07141826040942,-0.445429217340497,0.312634379330903,-1.4247608285877,0.154226348960205,0.990512677498131
"PEX14",2.86850293282026,-0.143031855936711,0.202253153673924,-0.707192215985463,0.479447035194248,0.990512677498131
"CASZ1",0.144069973469602,1.15834566641095,1.50445913021928,0.769941597710347,0.44133453708983,0.990512677498131
"C1orf127",0.114850259066886,0.466234256735637,2.58070700426184,0.180661445086826,0.856633323105497,0.990512677498131
"TARDBP",0.00506914146202306,0.968466965327953,3.02863079105057,0.319770560409581,0.749142266154344,0.990512677498131
"RP4-635E18.9",0.0621151860149058,0.520754661813456,3.02558769766377,0.172116862524117,0.863345656214916,0.990512677498131
"MASP2",0.115424240158073,0.816027520062837,1.64167789329766,0.497069201817461,0.61914025211917,0.990512677498131
"SRM",2.04537050748797,0.449230495645708,0.273724954954324,1.64117479066046,0.100761137113022,0.990512677498131
"EXOSC10",1.58887355635185,0.223438950149726,0.260620281208511,0.85733523543765,0.391259640679153,0.990512677498131
"MTOR",2.52597831732995,-0.285699204042464,0.205166876627577,-1.39252109667328,0.163764657732656,0.990512677498131
"ANGPTL7",0.0149282983285707,0.68387984683285,3.02858246572354,0.225808560464431,0.821350318742474,0.990512677498131
"UBIAD1",0.559956773461035,-0.0572612832660251,0.535203588851007,-0.106989722152192,0.914797133486439,0.990512677498131
"PTCHD2",0.364052451240018,0.422546344070466,0.574293335223672,0.735767452195654,0.461872232080528,0.990512677498131
"FBXO2",1.80866303120704,0.26853248939058,0.308412948328718,0.870691359898314,0.383922697357134,0.990512677498131
"FBXO44",3.4637739751849,0.430061480631817,0.205317308909051,2.0946187290148,0.0362048989519967,0.990512677498131
"FBXO6",0.381950799038382,0.370126406830483,0.589555173612013,0.627806223059392,0.530130888957672,0.990512677498131
