"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PFDN1",0.772919165690526,-0.402660057180556,0.708,0.75,1
"ST6GALNAC4",0.772991658457967,-0.176930708159078,0.208,0.333,1
"HCRT",0.773010584859652,-0.0714589639821449,0.125,0.125,1
"SAC3D1",0.773018537550099,-0.397301797469003,0.375,0.417,1
"LMX1B",0.773051272973548,-0.169899036795397,0.083,0.25,1
"C2CD4C",0.773154890315069,-0.245122458032985,0.375,0.458,1
"MMP28",0.773159349805792,-0.177681177237452,0.333,0.375,1
"RNASEH1",0.773172740603756,-0.0714589639821449,0.083,0.208,1
"FMNL2",0.773247009429418,-0.462410029206055,0.917,1,1
"LIN52",0.773280751481718,-0.417052723280552,0.917,0.958,1
"DHX37",0.773287586414286,-0.25489224962879,0.25,0.417,1
"LPL",0.773312865669873,-0.0714589639821449,0.083,0.208,1
"EML3",0.773462874768897,-0.352821374622742,0.083,0.375,1
"DLX5",0.773525295687454,-0.390427230743624,0.625,0.792,1
"FAM193B",0.773560543204552,-0.342664206869134,0.792,0.875,1
"SLC25A44",0.77358901567596,-0.356674943938732,0.583,0.75,1
"ISG15",0.773612402032201,-0.612178118026278,0.5,0.417,1
"CRIPT",0.773638497786653,-0.256719846847814,0.333,0.458,1
"POLM",0.773696819784378,-0.31015492830384,0.333,0.375,1
"GPR157",0.773735811951573,-0.074107972153722,0.083,0.167,1
"COLEC10",0.773981991716635,-0.169899036795397,0.125,0.25,1
"MECOM",0.773983077535794,-0.316669609325033,0.625,0.75,1
"TM6SF1",0.774012297569692,-0.287682072451781,0.333,0.417,1
"ZFP37",0.7741054493555,-0.247836163904581,0.292,0.458,1
"RABGGTB",0.774203610237246,-0.310154928303839,0.5,0.667,1
"ZNF382",0.774229977438165,-0.302280871872934,0.667,0.75,1
"ATAD5",0.774335976012099,-0.399599988655766,0.667,0.708,1
"GPR78",0.774384501379401,0.0377403279828471,0.125,0.083,1
"CTSB",0.77446234298035,-0.399734433399179,0.833,0.917,1
"MCTP1",0.774472886520601,-0.380772495517792,0.958,1,1
"CYC1",0.77449621244595,-0.408216141480054,0.75,0.875,1
"MOGAT1",0.774552344201002,-0.074107972153722,0.083,0.125,1
"TXNDC11",0.774566311193934,-0.405465108108164,0.625,0.75,1
"RPS16",0.774597579428756,-0.603100899875161,0.917,0.833,1
"RAB44",0.774786841460349,-0.0377403279828471,0.083,0.125,1
"MT1E",0.774786842190861,-0.0377403279828471,0.083,0.125,1
"PPEF1",0.774829322596606,-0.365459773494465,0.375,0.458,1
"ACTL6B",0.774863410412334,-0.454554718304688,0.625,0.917,1
"NDUFAB1",0.77493098440649,-0.463130749957974,0.625,0.75,1
"TSFM",0.774936873226413,-0.417735200699979,0.5,0.625,1
"SLC44A2",0.775245661735587,-0.370018359112416,0.625,0.917,1
"BMS1",0.775251080996836,-0.401010757758784,0.667,0.833,1
"GATS",0.775251611444976,-0.356674943938732,0.875,0.917,1
"PIP5K1A",0.775273445826555,-0.294650741767874,0.708,0.958,1
"ZNF620",0.775342083272133,-0.2295744416445,0.25,0.417,1
"SHCBP1L",0.775366336848888,-0.0377403279828471,0.083,0.125,1
"LRIG3",0.775383594027497,-0.129211731480006,0.167,0.25,1
"CENPB",0.775434990880248,-0.340325805937203,0.417,0.583,1
"TMEM38B",0.775443763619583,-0.23638877806423,0.5,0.75,1
"RBMX2",0.775479542596617,-0.303995647943305,0.708,0.833,1
"TAF11",0.775489967289399,-0.464305608131098,0.75,0.833,1
"SEC16B",0.775501950370519,-0.217064505237828,0.333,0.458,1
"BLVRB",0.775506288023178,-0.27286698666664,0.542,0.625,1
"ZNF284",0.775529192142625,-0.074107972153722,0.083,0.125,1
"ZNF362",0.775622957834674,-0.361013345537331,0.667,0.792,1
"POLA2",0.775625583375141,-0.266628663253949,0.333,0.458,1
"NPAS1",0.775634761573673,-0.502232660043159,0.875,0.917,1
"TMEM136",0.775667526623206,-0.377294231141468,0.583,0.625,1
