"","gene","X","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj","hMC_overlap","used"
"112","BNC2",112,54796,"ENSG00000173068","Microglia",0.825,0.553,5.02572707413539,0.829,0.658,0,0,TRUE,TRUE
"113","BOK",113,666,"ENSG00000176720","Oligodendrocyte",0.368,0.093,2.9782908745223,0.649,0.298,0,0,TRUE,TRUE
"114","BROX",114,148362,"ENSG00000162819","Microglia",0.675,0.436,3.06584252521919,0.727,0.454,1.60077269252564e-321,8.04884517528816e-317,TRUE,TRUE
"115","BST1",115,683,"ENSG00000109743","VLMC",0.364,0.125,2.95423700486732,0.632,0.264,0.000315902349014556,1,TRUE,TRUE
"116","BST2",116,684,"ENSG00000130303","Endothelial",0.4,0.011,4.60407052679023,0.696,0.392,9.82956753811659e-42,4.9424048538404e-37,TRUE,TRUE
"117","BTBD11",117,121551,"ENSG00000151136","PVALB",0.992,0.523,2.55341367207275,0.955,0.91,0,0,TRUE,TRUE
"118","BTNL9",118,153579,"ENSG00000165810","Endothelial",0.643,0.107,4.04024701594959,0.797,0.594,2.95550603994202e-52,1.48605799194325e-47,FALSE,TRUE
"119","C10orf11",119,83938,"ENSG00000148655","Microglia",0.999,0.8,4.08948020953369,0.994,0.988,0,0,FALSE,FALSE
"120","C10orf90",120,118611,"ENSG00000154493","Oligodendrocyte",0.938,0.273,4.06924449772208,0.949,0.898,0,0,TRUE,TRUE
"121","C12orf75",121,387882,"ENSG00000235162","Microglia",0.428,0.147,3.73962722355569,0.665,0.33,1.42962500048425e-271,7.18829746493488e-267,TRUE,TRUE
"122","C14orf39",122,317761,"ENSG00000179008","L5 ET",0.539,0.331,2.55684961627103,0.65,0.3,4.14107856518833e-60,2.08217571336234e-55,FALSE,FALSE
"123","C14orf93",123,60686,"ENSG00000100802","VLMC",0.364,0.191,3.02329754967761,0.609,0.218,0.00459087247790086,1,TRUE,TRUE
"124","C18orf42",124,642597,"ENSG00000231824","PVALB",0.418,0.066,2.65901504921516,0.685,0.37,0,0,FALSE,FALSE
"125","C1orf61",125,10485,"ENSG00000125462","Astrocyte",0.997,0.752,2.75220118765269,0.979,0.958,0,0,FALSE,TRUE
"126","C1QA",126,712,"ENSG00000173372","Microglia",0.367,0.007,5.02184732636185,0.681,0.362,0,0,TRUE,TRUE
