"","gene","entrez_id","ensembl_gene_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"1658","SLC47A1",55244,"ENSG00000142494","SST",0.55,0.189,2.12290353965869,0.708,0.416,6.36993308594464e-226,3.20286605494382e-221
"1659","SLC48A1",55652,"ENSG00000211584","Oligodendrocyte",0.596,0.255,2.74161149275951,0.718,0.436,0,0
"1660","SLC4A4",8671,"ENSG00000080493","Astrocyte",0.987,0.651,3.15150180207784,0.963,0.926,0,0
"1661","SLC4A7",9497,"ENSG00000033867","Microglia",0.804,0.743,2.16423279631955,0.701,0.402,5.68486230468636e-157,2.85840561541935e-152
"1662","SLC5A11",115584,"ENSG00000288216, ENSG00000158865","Oligodendrocyte",0.877,0.598,5.23681796183485,0.877,0.754,0,0
"1663","SLC5A4",6527,"ENSG00000100191","Endothelial",0.771,0.638,2.05131246984902,0.725,0.45,3.95966643393362e-15,1.99095987964617e-10
"1664","SLC5A6",8884,"ENSG00000138074","Endothelial",0.414,0.254,2.80631369765098,0.611,0.222,3.39252402794713e-14,1.7057950064921e-09
"1665","SLC6A16",28968,"ENSG00000063127","VLMC",0.636,0.339,2.74126065204847,0.686,0.372,0.00692080697257745,1
"1666","SLC6A20",54716,"ENSG00000163817","VLMC",0.545,0.075,4.05716130922713,0.754,0.508,2.19925602891552e-10,1.10580792389901e-05
"1667","SLC6A6",6533,"ENSG00000131389","Endothelial",0.286,0.376,2.53650234724617,0.492,0.016,1.0148026393421e-15,5.10252915087601e-11
"1668","SLC7A1",6541,"ENSG00000139514","Endothelial",0.843,0.412,3.89505120343909,0.872,0.744,1.4431603205124e-80,7.25635440756838e-76
"1669","SLC7A10",56301,"ENSG00000130876","Astrocyte",0.396,0.047,3.14863135229003,0.682,0.364,0,0
"1670","SLC7A11.AS1",NA,"NA","VLMC",0.364,0.081,3.53148680337435,0.655,0.31,5.19526284416133e-12,2.61223011067276e-07
"1671","SLC7A2",6542,"ENSG00000003989","Astrocyte",0.434,0.18,2.09124780790751,0.646,0.292,9.12385569029495e-158,4.5875658796372e-153
"1672","SLC7A5",8140,"ENSG00000103257","Endothelial",0.771,0.363,4.45643751085215,0.828,0.656,4.45725959375168e-109,2.24115469633428e-104
"1673","SLC7A5P2",387254,"NA","Endothelial",0.414,0.366,2.10018748288749,0.562,0.124,2.71392376145818e-14,1.36458800649879e-09
"1674","SLC7A7",9056,"ENSG00000155465","Microglia",0.4,0.333,3.07348118576157,0.573,0.146,8.50316167763075e-168,4.27547472312952e-163
"1675","SLC9A1",6548,"ENSG00000090020","Pericyte",0.469,0.426,2.29575932901257,NA,NA,5.19596578810716e-10,2.61258355791816e-05
"1676","SLC9A2",6549,"ENSG00000115616","SST",0.501,0.197,2.74900295867983,0.683,0.366,2.87914395560187e-277,1.44766237231618e-272
"1677","SLC9A3R1",9368,"ENSG00000109062","Astrocyte",0.454,0.078,3.13476095709242,0.701,0.402,0,0
"1678","SLC9A3R2",9351,"ENSG00000065054","Endothelial",0.5,0.094,3.79922850396062,0.719,0.438,1.66847977338496e-45,8.38928314855694e-41
"1679","SLC9A5",6553,"ENSG00000135740","VLMC",0.364,0.343,2.1373389311952,0.571,0.142,0.000221424432243652,1
"1680","SLC9A9",285195,"ENSG00000181804","Microglia",0.948,0.722,2.61878631520799,0.891,0.782,0,0
"1681","SLC9C1",285335,"ENSG00000285044, ENSG00000172139","L5/6 NP",0.633,0.302,2.8399229685682,0.726,0.452,1.26879542125241e-257,6.37963025759924e-253
"1682","SLCO3A1",28232,"ENSG00000176463","Oligodendrocyte",0.97,0.858,2.06007269207218,0.877,0.754,0,0
"1683","SLIT2",9353,"ENSG00000145147","PVALB",0.998,0.679,2.08389107377194,0.955,0.91,0,0
