"","gene","entrez_id","ensembl_gene_id","nueron_or_not","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"234","GABRG3",2567,"ENSG00000182256","Neuronal",0.984,0.415,4.05366220111872,0.975,0.95,0,0
"235","GAD2",2572,"ENSG00000136750","Neuronal",0.422,0.174,3.2180739764759,0.639,0.278,0,0
"236","GALNT10",55568,"ENSG00000164574","Non-neuronal",0.512,0.422,2.10709023459739,0.592,0.184,9.97157554337596e-302,5.01380789896487e-297
"237","GALNT14",79623,"ENSG00000158089","Neuronal",0.66,0.258,3.03185164489159,0.757,0.514,0,0
"238","GALNT9",50614,"ENSG00000288490, ENSG00000182870","Neuronal",0.633,0.097,2.03745836008147,0.784,0.568,0,0
"239","GALNTL6",442117,"ENSG00000174473","Neuronal",0.962,0.665,3.28098526160902,0.884,0.768,0,0
"240","GAP43",2596,"ENSG00000172020","Neuronal",0.872,0.163,2.0893880051143,0.888,0.776,0,0
"241","GATM",2628,"ENSG00000171766","Non-neuronal",0.53,0.322,2.63563180946712,0.651,0.302,0,0
"242","GDA",9615,"ENSG00000119125","Neuronal",0.847,0.448,2.28171757467715,0.825,0.65,0,0
"243","GFRA2",2675,"ENSG00000168546","Neuronal",0.55,0.195,2.12750035775897,0.711,0.422,0,0
"244","GLDN",342035,"ENSG00000186417","Non-neuronal",0.467,0.335,2.7813086186438,0.615,0.23,0,0
"245","GLI3",2737,"ENSG00000106571","Non-neuronal",0.528,0.367,3.68961290026393,0.641,0.282,0,0
"246","GLIS1",148979,"ENSG00000174332","Neuronal",0.538,0.097,2.43170852434672,0.736,0.472,0,0
"247","GLRA3",8001,"ENSG00000145451","Neuronal",0.639,0.217,2.89858703996718,0.752,0.504,0,0
"248","GLTP",51228,"ENSG00000139433","Non-neuronal",0.382,0.366,2.0074133474594,0.538,0.0760000000000001,5.17256781718931e-259,2.60081882416096e-254
"249","GLUL",2752,"ENSG00000135821","Non-neuronal",0.623,0.193,3.61874769961439,0.758,0.516,0,0
"250","GNG7",2788,"ENSG00000176533","Non-neuronal",0.919,0.907,2.15623054528147,0.702,0.404,0,0
"251","GPR22",2845,"ENSG00000283812, ENSG00000172209","Neuronal",0.708,0.054,2.41704978731005,0.831,0.662,0,0
"252","GPR63",81491,"ENSG00000112218","Neuronal",0.535,0.058,2.46521609078651,0.746,0.492,0,0
"253","GPRC5B",51704,"ENSG00000167191","Non-neuronal",0.653,0.198,3.66796397862071,0.776,0.552,0,0
"254","GRAMD3",65983,"ENSG00000155324","Non-neuronal",0.498,0.213,3.23571472919135,0.68,0.36,0,0
"255","GRIA1",2890,"ENSG00000155511","Neuronal",0.993,0.382,2.67948134362871,0.961,0.922,0,0
"256","GRIN1",2902,"ENSG00000176884","Neuronal",0.899,0.118,2.48971217239467,0.926,0.852,0,0
"257","GRIN2A",2903,"ENSG00000183454","Neuronal",0.98,0.536,2.69821565904252,0.945,0.89,0,0
"258","GRIN2B",2904,"ENSG00000273079","Neuronal",0.998,0.371,2.7947951303715,0.973,0.946,0,0
"259","GRIN3A",116443,"ENSG00000198785","Neuronal",0.552,0.225,3.21463007639641,0.696,0.392,0,0
"260","GRIP1",23426,"ENSG00000155974","Neuronal",0.978,0.592,2.84417660833148,0.906,0.812,0,0
"261","GRIP2",80852,"ENSG00000144596","Neuronal",0.386,0.105,2.8235323534317,0.651,0.302,0,0
"262","GRM1",2911,"ENSG00000152822","Neuronal",0.858,0.336,2.96767732467156,0.862,0.724,0,0
"263","GSN",2934,"ENSG00000148180","Non-neuronal",0.755,0.413,3.2776375623372,0.776,0.552,0,0
"264","GULP1",51454,"ENSG00000144366","Neuronal",0.613,0.179,2.48301805075395,0.747,0.494,0,0
"265","GYPB",2994,"ENSG00000250361","Neuronal",0.5,0.045,2.0613370771679,0.731,0.462,0,0
"266","HAPLN2",60484,"ENSG00000132702","Non-neuronal",0.352,0.185,3.35264645500348,0.607,0.214,0,0
"267","HCN1",348980,"ENSG00000164588","Neuronal",0.995,0.53,4.12373658545371,0.985,0.97,0,0
"268","HEPACAM",220296,"ENSG00000165478","Non-neuronal",0.417,0.054,3.61540677863906,0.689,0.378,0,0
"269","HEPH",9843,"ENSG00000089472","Non-neuronal",0.413,0.466,3.1963766791769,0.528,0.056,0,0
"270","HHATL",57467,"ENSG00000010282","Non-neuronal",0.412,0.24,2.59757501930396,0.617,0.234,0,0
"271","HIF3A",64344,"ENSG00000124440","Non-neuronal",0.454,0.333,3.23361576513495,0.614,0.228,0,0
"272","HIP1",3092,"ENSG00000127946","Non-neuronal",0.945,0.928,2.6559638150974,0.751,0.502,0,0
"273","HIP1R",9026,"ENSG00000130787","Non-neuronal",0.693,0.592,2.22367006663154,0.7,0.4,0,0
"274","HIPK2",28996,"ENSG00000064393","Non-neuronal",0.756,0.58,2.42679143009155,0.718,0.436,0,0
"275","HOMER1",9456,"ENSG00000152413","Neuronal",0.943,0.388,2.11245460051742,0.903,0.806,0,0
"276","HOOK1",51361,"ENSG00000134709","Neuronal",0.739,0.075,2.41866427588756,0.846,0.692,0,0
"277","HPSE2",60495,"ENSG00000172987","Non-neuronal",0.775,0.874,2.23744120086265,0.531,0.0620000000000001,9.88131291682493e-324,4.96842294770874e-319
"278","HS3ST2",9956,"ENSG00000122254","Neuronal",0.557,0.164,2.82897805210212,0.723,0.446,0,0
"279","HTR1E",3354,"ENSG00000168830","Neuronal",0.791,0.089,4.6905105636978,0.882,0.764,0,0
"280","HTR1F",3355,"ENSG00000179097","Neuronal",0.796,0.321,2.75326183543247,0.819,0.638,0,0
"281","HTR2A",3356,"ENSG00000102468","Neuronal",0.641,0.108,2.20147852115943,0.788,0.576,0,0
"282","HTR2C",3358,"ENSG00000147246","Neuronal",0.531,0.33,2.34544359703408,0.589,0.178,2.95029766078715e-150,1.48343916682039e-145
"283","HTR4",3360,"ENSG00000164270","Neuronal",0.657,0.381,2.21946194801291,0.687,0.374,0,0
"284","HTRA1",5654,"ENSG00000166033","Non-neuronal",0.656,0.226,2.52948981310899,0.755,0.51,0,0
"285","IGFBP7",3490,"ENSG00000163453","Non-neuronal",0.368,0.263,3.34593620516643,0.583,0.166,0,0
"286","IL1RAPL2",26280,"ENSG00000189108","Neuronal",0.948,0.764,3.82383956973137,0.743,0.486,0,0
"287","IL6R",3570,"ENSG00000160712","Non-neuronal",0.384,0.402,2.16876665588198,0.52,0.04,3.11144703431962e-155,1.56446668332625e-150
"288","INPP5D",3635,"ENSG00000281614, ENSG00000168918","Non-neuronal",0.444,0.38,3.73303513680993,0.57,0.14,0,0
"289","IQCJ.SCHIP1",NA,"NA","Neuronal",0.388,0.015,2.85870124167542,0.688,0.376,0,0
"290","IQSEC3",440073,"ENSG00000262607, ENSG00000120645","Neuronal",0.755,0.053,2.56251169658798,0.862,0.724,0,0
"291","ITGAM",3684,"ENSG00000169896","Non-neuronal",0.379,0.39,3.3251673661218,0.534,0.0680000000000001,0,0
"292","ITGB5",3693,"ENSG00000082781","Non-neuronal",0.361,0.25,2.33052483897778,0.58,0.16,0,0
"293","ITIH5",80760,"ENSG00000123243","Non-neuronal",0.525,0.529,2.61563489205461,0.553,0.106,3.4336370993862e-205,1.72646706994238e-200
"294","ITPKB",3707,"ENSG00000143772","Non-neuronal",0.488,0.183,3.31096283337854,0.684,0.368,0,0
"295","ITPR2",3709,"ENSG00000123104","Non-neuronal",0.767,0.709,2.35441999741118,0.685,0.37,0,0
"296","JPH1",56704,"ENSG00000104369","Neuronal",0.742,0.148,2.63199375345533,0.833,0.666,0,0
"297","KALRN",8997,"ENSG00000160145","Neuronal",0.998,0.695,2.29192078995245,0.954,0.908,0,0
"298","KANK1",23189,"ENSG00000107104","Non-neuronal",0.863,0.656,3.45629166118582,0.814,0.628,0,0
"299","KAT2B",8850,"ENSG00000114166","Non-neuronal",0.75,0.572,2.40485988725607,0.722,0.444,0,0
"300","KCNA3",3738,"ENSG00000177272","Neuronal",0.516,0.034,2.48338958794483,0.745,0.49,0,0
"301","KCNB2",9312,"ENSG00000182674","Neuronal",0.949,0.341,3.72936585745775,0.943,0.886,0,0
"302","KCNC2",3747,"ENSG00000166006","Neuronal",0.968,0.245,4.11830562235445,0.968,0.936,0,0
"303","KCNH1",3756,"ENSG00000143473","Neuronal",0.99,0.885,2.48609970065546,0.902,0.804,0,0
"304","KCNH3",23416,"ENSG00000135519","Neuronal",0.723,0.045,2.38028875450115,0.845,0.69,0,0
"305","KCNH7",90134,"ENSG00000184611","Neuronal",0.921,0.269,4.2454599284864,0.931,0.862,0,0
"306","KCNH8",131096,"ENSG00000183960","Non-neuronal",0.704,0.559,3.91508353438959,0.718,0.436,0,0
"307","KCNIP4",80333,"ENSG00000281758, ENSG00000185774","Neuronal",0.996,0.79,2.18989684962337,0.91,0.82,0,0
"308","KCNIP4.IT1",NA,"NA","Neuronal",0.716,0.069,2.21850786867584,0.828,0.656,0,0
"309","KCNJ10",3766,"ENSG00000177807","Non-neuronal",0.441,0.036,4.59544067549484,0.709,0.418,0,0
"310","KCNJ3",3760,"ENSG00000162989","Neuronal",0.983,0.224,3.0792179516625,0.97,0.94,0,0
"311","KCNJ6",3763,"ENSG00000157542","Neuronal",0.92,0.261,2.08503802880177,0.908,0.816,0,0
"312","KCNQ5",56479,"ENSG00000185760","Neuronal",0.981,0.489,4.72147080156102,0.967,0.934,0,0
"313","KCNT1",57582,"ENSG00000107147","Neuronal",0.806,0.052,2.86389823205668,0.892,0.784,0,0
"314","KCNV1",27012,"ENSG00000164794","Neuronal",0.481,0.031,2.21162486632935,0.728,0.456,0,0
"315","KCTD16",57528,"ENSG00000183775","Neuronal",0.972,0.456,2.01421509544942,0.902,0.804,0,0
"316","KHDRBS2",202559,"ENSG00000112232","Neuronal",0.992,0.571,2.92160604419938,0.96,0.92,0,0
"317","KIAA1211L",343990,"ENSG00000196872","Neuronal",0.78,0.205,2.21904879901432,0.841,0.682,0,0
"318","KIAA1217",56243,"ENSG00000120549","Neuronal",0.974,0.845,2.0957942098344,0.78,0.56,0,0
"319","KIAA1549L",25758,"ENSG00000110427","Neuronal",0.992,0.492,2.53049728147184,0.956,0.912,0,0
"320","KIAA1755",85449,"ENSG00000149633","Non-neuronal",0.497,0.09,4.59049159344325,0.723,0.446,0,0
"321","KIF13B",23303,"ENSG00000197892","Non-neuronal",0.693,0.647,2.0045867546979,0.605,0.21,1.73803931523993e-289,8.73903548095787e-285
"322","KIF6",221458,"ENSG00000164627","Non-neuronal",0.608,0.61,2.3036213999478,0.58,0.16,0,0
"323","KLHL29",114818,"ENSG00000119771","Neuronal",0.857,0.214,2.40119733260001,0.887,0.774,0,0
"324","KMO",8564,"ENSG00000117009","Neuronal",0.355,0.082,2.17140615206357,0.644,0.288,0,0
"325","KRT222",125113,"ENSG00000213424","Neuronal",0.609,0.04,2.42288046046698,0.791,0.582,0,0
"326","KSR2",283455,"ENSG00000171435","Neuronal",0.997,0.846,2.18883217968383,0.943,0.886,0,0
"327","L1CAM",3897,"ENSG00000198910","Neuronal",0.633,0.041,2.17548486572989,0.802,0.604,0,0
"328","LAMA1",284217,"ENSG00000101680","Non-neuronal",0.531,0.468,3.15319427395867,0.599,0.198,0,0
"329","LATS2",26524,"ENSG00000150457","Non-neuronal",0.369,0.337,2.11205962837356,0.547,0.0940000000000001,9.99978814530054e-235,5.02799347733857e-230
"330","LDB2",9079,"ENSG00000169744","Neuronal",0.918,0.398,2.72648864907028,0.895,0.79,0,0
"331","LDB3",11155,"ENSG00000122367","Non-neuronal",0.464,0.311,3.1814911970241,0.622,0.244,0,0
"332","LHFPL2",10184,"ENSG00000145685","Non-neuronal",0.431,0.5,2.00567186387638,0.497,0.00600000000000001,4.91252081129064e-151,2.47006458912505e-146
"333","LHFPL3",375612,"ENSG00000187416","Non-neuronal",0.663,0.776,2.54493300485369,0.502,0.004,2.65314971268556e-176,1.33403020703543e-171
"334","LIFR",3977,"ENSG00000113594","Non-neuronal",0.627,0.506,2.02062314893636,0.653,0.306,0,0
"335","LIN7A",8825,"ENSG00000111052","Neuronal",0.804,0.186,2.12895001844821,0.852,0.704,0,0
"336","LINC00333",100874128,"NA","Neuronal",0.418,0.215,2.00681563288344,0.609,0.218,9.01951671283381e-230,4.53510319837997e-225
"337","LINC00470",56651,"NA","Neuronal",0.37,0.11,2.57804642708915,0.639,0.278,0,0
"338","LINC00599",157627,"ENSG00000284859, ENSG00000253230","Neuronal",0.986,0.08,2.91743564287084,0.972,0.944,0,0
"339","LINC00609",101101773,"ENSG00000257585","Non-neuronal",0.496,0.251,3.70280397515176,0.667,0.334,0,0
"340","LINC00639",283547,"ENSG00000259070","Non-neuronal",0.437,0.246,4.43331679866496,0.639,0.278,0,0
"341","LINC00673",100499467,"ENSG00000227036","Non-neuronal",0.632,0.645,2.31193974955421,0.586,0.172,0,0
"342","LINC00710",254312,"NA","Neuronal",0.56,0.037,2.67461044818221,0.767,0.534,0,0
"343","LINC00970",101978719,"ENSG00000203601","Neuronal",0.654,0.189,2.12388845739253,0.767,0.534,0,0
"344","LINC01170",103724389,"NA","Non-neuronal",0.584,0.515,3.49654762175703,0.63,0.26,0,0
"345","LINC01197",400456,"ENSG00000248441","Neuronal",0.45,0.066,2.30225893567636,0.702,0.404,0,0
"346","LINC01202",104326188,"NA","Neuronal",0.535,0.165,3.23680460891864,0.71,0.42,0,0
"347","LINC01250",101927554,"ENSG00000234423","Neuronal",0.872,0.217,4.02991804517815,0.906,0.812,0,0
"348","LINC01378",103689918,"NA","Neuronal",0.696,0.268,4.21037635354457,0.76,0.52,0,0
"349","LINC01411",101928176,"NA","Non-neuronal",0.43,0.358,2.92203686478023,0.583,0.166,0,0
"350","LINC01470",101927134,"ENSG00000249484","Non-neuronal",0.701,0.769,2.68007761077205,0.565,0.13,0,0
"351","LINCR.0002",NA,"NA","Neuronal",0.593,0.147,3.68363901109815,0.751,0.502,0,0
"352","LINCR.0003",NA,"NA","Neuronal",0.432,0.088,2.69456711101652,0.683,0.366,0,0
"353","LINGO2",158038,"ENSG00000174482","Neuronal",0.987,0.658,4.95754795563543,0.953,0.906,0,0
"354","LITAF",9516,"ENSG00000189067","Non-neuronal",0.497,0.45,3.03450912127355,0.586,0.172,0,0
"355","LOC100132813",100132813,"NA","Neuronal",0.441,0.012,2.67922484538048,0.716,0.432,0,0
"356","LOC100132891",100132891,"ENSG00000235531","Neuronal",0.587,0.182,3.03769368721429,0.728,0.456,0,0
"357","LOC100287225",100287225,"ENSG00000227115","Non-neuronal",0.379,0.284,2.2888420960347,0.575,0.15,2.37293582494408e-282,1.19313586214013e-277
"358","LOC100420794",100420794,"NA","Neuronal",0.553,0.007,2.73277325866598,0.775,0.55,0,0
"359","LOC100505797",100505797,"ENSG00000263958","Neuronal",0.727,0.054,2.03959999090915,0.839,0.678,0,0
"360","LOC100506076",100506076,"NA","Neuronal",0.852,0.186,2.02746741461137,0.874,0.748,0,0
"361","LOC100506393",100506393,"NA","Neuronal",0.669,0.126,3.28923020375864,0.802,0.604,0,0
"362","LOC100507336",100507336,"ENSG00000228793","Non-neuronal",0.39,0.222,4.38226894224153,0.616,0.232,0,0
"363","LOC100507387",100507387,"NA","Neuronal",0.699,0.02,3.07091207803102,0.843,0.686,0,0
"364","LOC101926964",101926964,"ENSG00000231252","Non-neuronal",0.436,0.351,2.86152605249034,0.586,0.172,0,0
"365","LOC101927043",101927043,"ENSG00000234690","Non-neuronal",0.59,0.763,2.10311745052406,0.471,0.0580000000000001,0,0
"366","LOC101927286",101927286,"ENSG00000259664","Neuronal",0.591,0.227,2.31313025552204,0.705,0.41,0,0
"367","LOC101927406",101927406,"NA","Neuronal",0.383,0.089,2.81249881793157,0.656,0.312,0,0
"368","LOC101927437",101927437,"NA","Non-neuronal",0.37,0.2,4.01836894619698,0.614,0.228,0,0
"369","LOC101927459",101927459,"ENSG00000253877","Non-neuronal",0.448,0.203,5.00162907213807,0.659,0.318,0,0
"370","LOC101927587",101927587,"ENSG00000233008","Neuronal",0.624,0.26,2.18684091565688,0.721,0.442,0,0
"371","LOC101927745",101927745,"ENSG00000229425","Neuronal",0.359,0.104,2.90599016026942,0.638,0.276,0,0
"372","LOC101927768",101927768,"ENSG00000228624","Non-neuronal",0.396,0.384,2.13194616928552,0.535,0.0700000000000001,1.7416604459579e-188,8.75724288832093e-184
"373","LOC101927874",101927874,"NA","Neuronal",0.479,0.229,2.21437812001814,0.645,0.29,0,0
"374","LOC101927880",101927880,"ENSG00000233321","Neuronal",0.53,0.095,2.74900314283898,0.734,0.468,0,0
"375","LOC101927885",101927885,"NA","Neuronal",0.795,0.039,2.73098438013682,0.882,0.764,0,0
"376","LOC101927967",101927967,"NA","Non-neuronal",0.631,0.585,4.38865738652458,0.628,0.256,0,0
"377","LOC101928114",101928114,"ENSG00000226320","Neuronal",0.604,0.245,2.15595357888622,0.707,0.414,0,0
"378","LOC101928322",101928322,"NA","Neuronal",0.394,0.065,2.59593962719199,0.673,0.346,0,0
"379","LOC101928387",101928387,"NA","Neuronal",0.926,0.352,2.49241508735264,0.906,0.812,0,0
"380","LOC101928522",101928522,"NA","Neuronal",0.388,0.067,2.09538218973357,0.667,0.334,0,0
"381","LOC101928767",101928767,"NA","Non-neuronal",0.436,0.513,2.43882457910171,0.513,0.026,0,0
"382","LOC101929201",101929201,"NA","Neuronal",0.478,0.129,2.11126597653315,0.692,0.384,0,0
"383","LOC101929249",101929249,"NA","Non-neuronal",0.434,0.009,4.9238651943704,0.714,0.428,0,0
"384","LOC101929544",101929544,"ENSG00000248455","Neuronal",0.584,0.074,3.23297965402196,0.771,0.542,0,0
"385","LOC101929617",101929617,"NA","Neuronal",0.431,0.008,2.71685435264029,0.712,0.424,0,0
"386","LOC101929727",101929727,"NA","Neuronal",0.364,0.056,2.02458427896649,0.659,0.318,0,0
"387","LOC102546299",102546299,"ENSG00000241956","Neuronal",0.45,0.198,2.75401250812524,0.641,0.282,0,0
"388","LOC102723503",102723503,"NA","Non-neuronal",0.413,0.365,2.02989963064498,0.559,0.118,7.12377101294239e-228,3.58190330301756e-223
"389","LOC102723658",102723658,"NA","Neuronal",0.408,0.049,2.69221192032132,0.685,0.37,0,0
"390","LOC102724687",102724687,"NA","Non-neuronal",0.413,0.434,2.21934688784929,0.53,0.0600000000000001,1.15433682762026e-291,5.80412100295743e-287
"391","LOC105369172",105369172,"NA","Neuronal",0.474,0.013,2.72226739155526,0.732,0.464,0,0
"392","LOC105369345",105369345,"NA","Non-neuronal",0.808,0.361,2.85525263354637,0.831,0.662,0,0
"393","LOC105369388",105369388,"NA","Neuronal",0.357,0.032,2.01002882930613,0.666,0.332,0,0
"394","LOC105369762",105369762,"NA","Neuronal",0.456,0.125,2.00798470498333,0.682,0.364,0,0
"395","LOC105369862",105369862,"NA","Neuronal",0.621,0.004,3.29564455311572,0.809,0.618,0,0
"396","LOC105370302",105370302,"NA","Neuronal",0.456,0.179,2.41134552666271,0.654,0.308,0,0
"397","LOC105370359",105370359,"NA","Non-neuronal",0.401,0.438,2.60494368088278,0.501,0.002,2.22424251001203e-62,1.11837137645915e-57
"398","LOC105370610",105370610,"NA","Neuronal",0.601,0.255,3.04771529020053,0.702,0.404,0,0
"399","LOC105370731",105370731,"NA","Neuronal",0.438,0.178,2.4848048857176,0.641,0.282,0,0
"400","LOC105371255",105371255,"NA","Non-neuronal",0.353,0.087,2.82252009449353,0.641,0.282,0,0
"401","LOC105371308",105371308,"NA","Neuronal",0.539,0.317,2.50563938136949,0.617,0.234,7.87792525920584e-245,3.96109959958129e-240
"402","LOC105371639",105371639,"NA","Neuronal",0.38,0.023,2.78038889942782,0.681,0.362,0,0
"403","LOC105371671",105371671,"NA","Neuronal",0.402,0.141,2.5097364871755,0.64,0.28,0,0
"404","LOC105371832",105371832,"NA","Neuronal",0.753,0.28,4.15637947192096,0.799,0.598,0,0
"405","LOC105371931",105371931,"NA","Non-neuronal",0.377,0.3,2.39170316563515,0.57,0.14,0,0
"406","LOC105371967",105371967,"ENSG00000266401","Neuronal",0.468,0.009,2.24117228053151,0.729,0.458,0,0
"407","LOC105372003",105372003,"NA","Neuronal",0.362,0.035,2.13852051617495,0.666,0.332,0,0
"408","LOC105372079",105372079,"NA","Neuronal",0.421,0.038,3.24085956820562,0.697,0.394,0,0
"409","LOC105372776",105372776,"NA","Non-neuronal",0.365,0.374,2.55229869223797,0.525,0.05,3.04516814083431e-139,1.5311409928929e-134
"410","LOC105373153",105373153,"NA","Neuronal",0.742,0.22,3.37438560248993,0.82,0.64,0,0
"411","LOC105373224",105373224,"NA","Neuronal",0.4,0.051,2.02795447983825,0.68,0.36,0,0
"412","LOC105373720",105373720,"NA","Neuronal",0.359,0.037,3.16198836185058,0.666,0.332,0,0
"413","LOC105373721",105373721,"NA","Neuronal",0.445,0.009,2.31781274822996,0.718,0.436,0,0
"414","LOC105373893",105373893,"NA","Neuronal",0.727,0.292,3.93346426144971,0.784,0.568,0,0
"415","LOC105373895",105373895,"NA","Neuronal",0.534,0.174,2.94526191387106,0.71,0.42,0,0
"416","LOC105373896",105373896,"NA","Neuronal",0.538,0.065,3.69498624715373,0.75,0.5,0,0
"417","LOC105374214",105374214,"NA","Non-neuronal",0.71,0.627,2.55995965099271,0.651,0.302,0,0
"418","LOC105374524",105374524,"NA","Neuronal",0.443,0.257,2.71363346100808,0.608,0.216,3.54234922703087e-263,1.78112861484339e-258
"419","LOC105374971",105374971,"NA","Neuronal",0.525,0.266,3.52947845817145,0.642,0.284,0,0
"420","LOC105375159",105375159,"NA","Neuronal",0.558,0.183,2.32021972547987,0.716,0.432,0,0
"421","LOC105375383",105375383,"NA","Neuronal",0.525,0.082,2.13765937217621,0.732,0.464,0,0
"422","LOC105375483",105375483,"ENSG00000241345","Non-neuronal",0.476,0.352,3.79766290277846,0.612,0.224,0,0
"423","LOC105375629",105375629,"NA","Neuronal",0.649,0.098,2.89336627778671,0.795,0.59,0,0
"424","LOC105375931",105375931,"NA","Neuronal",0.506,0.231,2.84855175674909,0.653,0.306,0,0
"425","LOC105376219",105376219,"NA","Non-neuronal",0.328,0.353,2.84466952808319,0.515,0.03,2.74856925949671e-232,1.38200810936754e-227
"426","LOC105376387",105376387,"NA","Non-neuronal",0.517,0.439,3.05885013299872,0.61,0.22,0,0
"427","LOC105376404",105376404,"NA","Neuronal",0.511,0.026,2.16376543876241,0.744,0.488,0,0
"428","LOC105376405",105376405,"NA","Neuronal",0.555,0.018,3.0006948345285,0.77,0.54,0,0
"429","LOC105376407",105376407,"NA","Neuronal",0.712,0.119,3.29261637061497,0.828,0.656,0,0
"430","LOC105376423",105376423,"NA","Neuronal",0.519,0.002,2.95553787275442,0.759,0.518,0,0
"431","LOC105377329",105377329,"NA","Neuronal",0.52,0.175,2.16248024610238,0.693,0.386,0,0
"432","LOC105377462",105377462,"NA","Neuronal",0.766,0.328,2.11542525420985,0.787,0.574,0,0
"433","LOC105377632",105377632,"NA","Non-neuronal",0.635,0.655,2.60332636667949,0.589,0.178,0,0
"434","LOC105377703",105377703,"NA","Neuronal",0.495,0.259,2.81605676644164,0.635,0.27,0,0
"435","LOC105377751",105377751,"NA","Neuronal",0.807,0.075,2.44109107615485,0.881,0.762,0,0
"436","LOC105377899",105377899,"NA","Neuronal",0.417,0.105,2.41273636289982,0.667,0.334,0,0
"437","LOC105378030",105378030,"NA","Neuronal",0.363,0.041,3.6606592153209,0.666,0.332,0,0
"438","LOC105378031",105378031,"NA","Neuronal",0.556,0.208,2.82259438275223,0.693,0.386,0,0
"439","LOC105378305",105378305,"ENSG00000231131","Non-neuronal",0.413,0.43,4.49701686004128,0.537,0.0740000000000001,0,0
"440","LOC105378334",105378334,"NA","Neuronal",0.711,0.366,2.33702596068921,0.728,0.456,0,0
"441","LOC284930",284930,"ENSG00000224271","Neuronal",0.658,0.296,3.94768406846097,0.735,0.47,0,0
"442","LOC285500",285500,"NA","Non-neuronal",0.506,0.508,2.11787242954831,0.553,0.106,1.28285830775515e-287,6.45033985722369e-283
"443","LOC285696",285696,"NA","Neuronal",0.853,0.408,2.00618919773046,0.838,0.676,0,0
"444","LOC440040",440040,"ENSG00000285164, ENSG00000205035","Neuronal",0.963,0.404,3.77177187662426,0.946,0.892,0,0
"445","LOC643962",643962,"NA","Neuronal",0.808,0.438,2.67519521609275,0.739,0.478,0,0
"446","LOC648987",648987,"ENSG00000177738","Non-neuronal",0.303,0.412,2.01314062316953,0.472,0.056,1.40282078355321e-306,7.05352318178391e-302
"447","LOC730076",730076,"NA","Neuronal",0.47,0.027,2.64664238079338,0.726,0.452,0,0
"448","LPAR1",1902,"ENSG00000198121","Non-neuronal",0.581,0.224,4.1024866689017,0.73,0.46,0,0
"449","LRFN5",145581,"ENSG00000165379","Neuronal",0.991,0.399,2.41248056947857,0.951,0.902,0,0
"450","LRIG1",26018,"ENSG00000144749","Non-neuronal",0.419,0.292,2.3411800275236,0.595,0.19,0,0
"451","LRP2",4036,"ENSG00000081479","Non-neuronal",0.473,0.469,3.36381881464566,0.567,0.134,0,0
"452","LRP4",4038,"ENSG00000134569","Non-neuronal",0.5,0.171,4.03184286018668,0.699,0.398,0,0
"453","LY86.AS1",NA,"NA","Neuronal",0.733,0.189,3.53238792423277,0.822,0.644,0,0
"454","LYN",4067,"ENSG00000254087","Non-neuronal",0.526,0.423,3.90014675479681,0.621,0.242,0,0
"455","LYPD8",646627,"ENSG00000259823","Neuronal",0.433,0.044,2.77573055605902,0.701,0.402,0,0
"456","MAG",4099,"ENSG00000105695","Non-neuronal",0.413,0.143,4.67277342735491,0.66,0.32,0,0
"457","MAL",4118,"ENSG00000172005","Non-neuronal",0.427,0.073,4.69159465279699,0.69,0.38,0,0
"458","MAL2",114569,"ENSG00000147676","Neuronal",0.541,0.025,2.22528829792715,0.758,0.516,0,0
"459","MAML2",84441,"ENSG00000184384","Non-neuronal",0.876,0.536,3.49079035817885,0.861,0.722,0,0
"460","MAP7D2",256714,"ENSG00000184368","Neuronal",0.891,0.3,2.07825752705488,0.891,0.782,0,0
"461","MARCH11",441061,"ENSG00000183654","Neuronal",0.624,0.073,2.99582987442006,0.792,0.584,0,0
"462","MARCH4",57574,"ENSG00000144583","Neuronal",0.784,0.171,3.25129998395599,0.86,0.72,0,0
"463","MAST1",22983,"ENSG00000105613","Neuronal",0.918,0.293,2.11972226527615,0.908,0.816,0,0
"464","MBP",4155,"ENSG00000197971","Non-neuronal",0.713,0.672,3.60568425758947,0.662,0.324,0,0
"465","MCHR2",84539,"ENSG00000152034","Neuronal",0.691,0.177,3.71307549219633,0.796,0.592,0,0
"466","MECOM",2122,"ENSG00000085276","Non-neuronal",0.391,0.462,3.3327961746829,0.5,0,7.12156973490774e-200,3.58079647840896e-195
"467","MEG3",55384,"ENSG00000214548","Neuronal",1,0.47,2.92390389937943,0.987,0.974,0,0
"468","MEGF10",84466,"ENSG00000145794","Non-neuronal",0.629,0.298,3.09371266481714,0.731,0.462,0,0
"469","MEIS1",4211,"ENSG00000143995","Non-neuronal",0.459,0.457,2.66744956496661,0.572,0.144,0,0
"470","MEIS3",56917,"ENSG00000105419","Neuronal",0.742,0.15,2.37414572508941,0.832,0.664,0,0
"471","MERTK",10461,"ENSG00000153208","Non-neuronal",0.537,0.465,2.76105630026013,0.602,0.204,0,0
"472","MICAL2",9645,"ENSG00000133816","Neuronal",0.919,0.175,2.48515187061331,0.923,0.846,0,0
"473","MIR124.2HG",NA,"NA","Neuronal",0.958,0.097,3.13736274242907,0.958,0.916,0,0
"474","MIR137HG",400765,"ENSG00000225206","Neuronal",0.858,0.072,4.48531447356858,0.919,0.838,0,0
"475","MIR4500HG",642345,"ENSG00000228824","Neuronal",0.668,0.167,2.9326715729843,0.787,0.574,0,0
