"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"681","LOC105377684",105377684,"Micro_C1QC","Microglia",0.788,0.165,5.04191118726637,0,0,0.867,0.734
"682","LOC105377885",105377885,"Inh_PAX6","LAMP5.PAX6.Other",0.561,0.313,2.5527512525754,8.89533237399894e-41,4.47266207097041e-36,0.677,0.354
"683","LOC105377918",105377918,"Micro_C1QC","Microglia",0.525,0.037,5.08661307716371,0,0,0.752,0.504
"684","LOC105377979",105377979,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.23,4.66434529093706,3.73525582882487e-46,1.87812398329143e-41,0.872,0.744
"685","LOC105378111",105378111,"OPC_MYT1","OPC",0.382,0.065,3.18917169716701,2.4774090290259e-180,1.24566603388451e-175,0.667,0.334
"686","LOC105378119",105378119,"Micro_C1QC","Microglia",0.424,0.095,3.27239257422432,2.03555449031259e-170,1.02349715327407e-165,0.676,0.352
"687","LOC105378145",105378145,"VLMC_CYP1B1","VLMC_CYP1B1",0.636,0.11,5.68467997238184,6.53987194556157e-56,3.28831301294782e-51,0.797,0.594
"688","LOC105378146",105378146,"VLMC_CYP1B1","VLMC_CYP1B1",0.545,0.03,4.89201397454618,7.9491414617066e-11,3.9969078183607e-06,0.763,0.526
"689","LOC105378305",105378305,"Micro_C1QC","Microglia",0.793,0.338,5.51506499480041,0,0,0.845,0.69
"690","LOC105378837",105378837,"Pyramidal","Pyramidal",0.496,0.072,2.9029341826961,0,0,0.725,0.45
"691","LOC105379054",105379054,"OPC_MYT1","OPC",0.726,0.04,4.21147864235282,0,0,0.852,0.704
"692","LOC105379082",105379082,"VLMC_CYP1B1","VLMC_CYP1B1",1,0.366,3.70660676909278,6.81423178563156e-16,3.42626388413341e-11,0.997,0.994
"693","LOC105379364",105379364,"Astro_FGFR3","Astrocyte",0.683,0.479,3.04056315711478,1.21616798442708e-298,6.11501424249778e-294,0.688,0.376
"694","LOC255187",255187,"Oligo","Oligo",0.423,0.067,4.63328915267742,0,0,0.691,0.382
"695","LOC284930",284930,"Pyramidal","Pyramidal",0.535,0.289,3.29919191576395,0,0,0.666,0.332
"696","LOC285626",285626,"Micro_C1QC","Microglia",0.392,0.108,4.66067648282143,3.05728911701005e-253,1.53723554092382e-248,0.657,0.314
"697","LOC401134",401134,"Micro_C1QC","Microglia",0.663,0.273,2.50426495820113,7.43927018887869e-177,3.74053944367009e-172,0.751,0.502
"698","LOC401478",401478,"Micro_C1QC","Microglia",0.715,0.405,2.63886444746012,1.22589713889036e-257,6.16393340405464e-253,0.75,0.5
"699","LOC644135",644135,"Peri_MUSTN1","Peri_MUSTN1",0.469,0.065,3.21114868878841,5.41119886545749e-10,2.72080490154068e-05,0.705,0.41
"700","LOC645321",645321,"Astro_FGFR3","Astrocyte",0.519,0.029,2.91628002441618,0,0,0.746,0.492
"701","LOC648987",648987,"VLMC_CYP1B1","VLMC_CYP1B1",0.636,0.325,3.07293314679037,4.48637299341261e-07,0.022557932048178,0.739,0.478
"702","LPAR1",1902,"Oligo","Oligo",0.91,0.239,2.90196851041995,0,0,0.917,0.834
"703","LPAR5",57121,"Micro_C1QC","Microglia",0.616,0.237,4.61122258716541,0,0,0.746,0.492
"704","LPAR6",10161,"Micro_C1QC","Microglia",0.971,0.083,5.63140774377647,0,0,0.982,0.964
"705","LPCAT2",54947,"Micro_C1QC","Microglia",0.773,0.204,3.59937074756327,0,0,0.846,0.692
"706","LPL",4023,"Peri_MUSTN1","Peri_MUSTN1",0.469,0.069,3.93122842252025,1.06499848578812e-21,5.35491888639124e-17,0.713,0.426
"707","LRIG1",26018,"Astro_FGFR3","Astrocyte",0.877,0.248,2.58692839747303,0,0,0.883,0.766
"708","LRMP",4033,"Micro_C1QC","Microglia",0.537,0.257,2.67672345104002,2.97448561405827e-121,1.49560111160464e-116,0.678,0.356
"709","LRP2",4036,"Oligo","Oligo",0.651,0.356,3.79809880698856,0,0,0.736,0.472
"710","LRP5",4041,"Peri_MUSTN1","Peri_MUSTN1",0.469,0.402,2.71566366860655,6.37306278143548e-10,3.20443969713357e-05,0.568,0.136
"711","LRRC63",220416,"Oligo","Oligo",0.537,0.171,3.28623527651133,0,0,0.713,0.426
"712","LRRK1",79705,"Micro_C1QC","Microglia",0.74,0.373,3.14608003688246,4.42688680769982e-283,2.22588295577955e-278,0.783,0.566
"713","LSP1",4046,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.162,2.56287580466773,3.50170877068263e-10,1.76069418698693e-05,0.618,0.236
"714","LSR",51599,"Endo_CLDN5","Endothelial",0.614,0.335,3.21097984133155,4.87215767209199e-55,2.44976959910457e-50,0.719,0.438
"715","LST1",7940,"Micro_C1QC","Microglia",0.432,0.008,4.88429260116341,0,0,0.713,0.426
"716","LTBP2",4053,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.157,4.43903822183207,2.53093710185892e-09,0.000127258048418568,0.672,0.344
"717","LTC4S",4056,"Micro_C1QC","Microglia",0.477,0.034,4.23185859792062,0,0,0.729,0.458
"718","LURAP1L-AS1",101929467,"Oligo","Oligo",0.495,0.151,3.59515930035873,0,0,0.699,0.398
"719","LUZP2",338645,"OPC_MYT1","OPC",1,0.694,2.78199384273203,0,0,0.981,0.962
"720","LY86",9450,"Micro_C1QC","Microglia",0.605,0.041,5.47918601486503,0,0,0.793,0.586
"721","LY86-AS1",285780,"Pyramidal","Pyramidal",0.884,0.193,3.99931261196676,0,0,0.921,0.842
"722","LYN",4067,"Micro_C1QC","Microglia",0.819,0.396,3.48266175097645,0,0,0.84,0.68
"723","LYPD8",646627,"Pyramidal","Pyramidal",0.549,0.048,3.1882948845015,0,0,0.761,0.522
"724","MAG",4099,"Oligo","Oligo",0.848,0.108,5.24577378897606,0,0,0.913,0.826
"725","MAL",4118,"Oligo","Oligo",0.783,0.1,3.86865180229349,0,0,0.871,0.742
"726","MAML3",55534,"Micro_C1QC","Microglia",0.932,0.616,3.0070677517284,0,0,0.882,0.764
"727","MAP6D1",79929,"Oligo","Oligo",0.424,0.126,2.8822251044232,1.66833102480945e-287,8.38853522584439e-283,0.665,0.33
"728","MB21D1",115004,"Micro_C1QC","Microglia",0.352,0.274,2.57244088288256,2.1925006075997e-84,1.1024112305072e-79,0.561,0.122
"729","MBP",4155,"Oligo","Oligo",1,0.545,4.04777849112791,0,0,0.997,0.994
"730","MCHR2",84539,"Pyramidal","Pyramidal",0.758,0.193,3.76501204866329,0,0,0.841,0.682
"731","MCL1",4170,"Endo_CLDN5","Endothelial",0.357,0.129,2.64479041439343,2.86488260677862e-13,1.44049162351436e-08,0.628,0.256
"732","MCOLN3",55283,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.082,3.83979896502684,0.00112918481023914,1,0.646,0.292
