"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"110","Endothelial","(Intercept)",-0.590888165859965,0.616915576307426,-0.957810417750757,0.382146614343265,"Cain","CgG","Filtered","Non-Neuronal"
"111","Endothelial","scale(age_death)",-0.745547056889576,0.441085642560099,-1.69025464660866,0.151771649133313,"Cain","CgG","Filtered","Non-Neuronal"
"112","Endothelial","LOADAD",0.0449159907080836,0.428140693017491,0.104909417489658,0.917492691243018,"Mathys","CgG","Filtered","Non-Neuronal"
"113","Endothelial","(Intercept)",-0.590774581600105,0.635553807622191,-0.929542982065328,0.395271671223997,"Cain","CgG","Unfiltered","Non-Neuronal"
"114","Endothelial","scale(age_death)",-0.398389568198322,0.245551909190037,-1.62242504858719,0.132997705868736,"Zhou","CgG","Filtered","Non-Neuronal"
"115","Endothelial","factor(msex)1",-0.160244007517177,0.507430288070848,-0.315795117643437,0.75806887792633,"Zhou","CgG","Filtered","Non-Neuronal"
"116","Endothelial","factor(msex)1",0.662959312910054,0.568041800919445,1.16709599863421,0.295798992146561,"Cain","CgG","Filtered","Non-Neuronal"
"117","Endothelial","(Intercept)",0.460519521886496,0.411916839570433,1.11799149159998,0.276820446704179,"Mathys","CgG","Unfiltered","Non-Neuronal"
"118","Endothelial","scale(age_death)",-0.375284931816352,0.193928968676592,-1.93516695508344,0.0672380019524033,"Mathys","CgG","Unfiltered","Non-Neuronal"
"119","Endothelial","scale(age_death)",-0.41023370884422,0.242807019820892,-1.68954632838388,0.119223302325028,"Zhou","CgG","Unfiltered","Non-Neuronal"
"120","Endothelial","scale(age_death)",-0.725746031963523,0.454411706208653,-1.59711121445072,0.17113088530954,"Cain","CgG","Unfiltered","Non-Neuronal"
"121","IT","scale(pmi)",-0.291144154301489,0.303571751554837,-0.959062076132919,0.358133500577565,"Zhou","CgG","Filtered","Glutamatergic"
"122","IT","factor(msex)1",-1.19917447081742,0.618043125783807,-1.94027636711697,0.110031893023882,"Cain","CgG","Unfiltered","Glutamatergic"
"123","IT","LOADAD",0.301266979618258,0.570317558757585,0.528244264957502,0.607822012054718,"Zhou","CgG","Filtered","Glutamatergic"
"124","IT","(Intercept)",0.0672426497853746,0.440401131970159,0.152685006699599,0.88141137385004,"Zhou","CgG","Unfiltered","Glutamatergic"
"125","IT","scale(pmi)",-0.276219242333629,0.306033812359905,-0.902577529599204,0.386087936960857,"Zhou","CgG","Unfiltered","Glutamatergic"
"126","IT","scale(pmi)",0.676594545058173,0.376103985073749,1.79895606510391,0.131934782889402,"Cain","CgG","Unfiltered","Glutamatergic"
"127","IT","factor(msex)1",-0.291510875182092,0.603069057433071,-0.483378929144352,0.638304825282369,"Zhou","CgG","Unfiltered","Glutamatergic"
"128","IT","(Intercept)",0.0811233010736224,0.440726986802335,0.18406701541516,0.855814355752438,"Mathys","CgG","Filtered","Glutamatergic"
"129","IT","scale(age_death)",0.305869488703617,0.207492682522158,1.47412180991469,0.156015935256331,"Mathys","CgG","Filtered","Glutamatergic"
"130","IT","scale(pmi)",-0.166172329951834,0.216626308106759,-0.767092101620175,0.451987787708267,"Mathys","CgG","Filtered","Glutamatergic"
"131","IT","LOADAD",-1.2155709685462,0.998264040127259,-1.21768482053229,0.277669213481832,"Cain","CgG","Unfiltered","Glutamatergic"
"132","IT","scale(pmi)",-0.219736342475933,0.217583577521332,-1.00989396800588,0.324608819991676,"Mathys","CgG","Unfiltered","Glutamatergic"
"133","IT","scale(pmi)",0.800481984540045,0.336856184689052,2.37633156499401,0.0634527027275003,"Cain","CgG","Filtered","Glutamatergic"
"134","IT","LOADAD",-1.36539566888767,0.894091605553204,-1.52713173953004,0.187259705792776,"Cain","CgG","Filtered","Glutamatergic"
