"","subclass","term","estimate","std.error","statistic","p.value","dataset","class"
"298","Mic3","factor(msex)1",0.471473013785462,0.430440075371607,1.09532787665839,0.286388538423356,"Mathys","Mic"
"299","Mic3","scale(pmi)",-0.227209131155179,0.220070870100591,-1.03243619226536,0.314191779761949,"Mathys","Mic"
"300","Mic3","LOADAD",-0.450699727826562,0.462268543426596,-0.974973820380943,0.341219158522777,"Mathys","Mic"
"301","Micr.1","(Intercept)",-0.391323917409491,0.952403496530234,-0.410880387183741,0.698176566457421,"Cain","Micr"
"302","Micr.1","scale(age_death)",-0.0330335873459381,0.680954614175896,-0.0485107034422785,0.963187349416143,"Cain","Micr"
"303","Micr.1","factor(msex)1",0.109459266806631,0.876951430873602,0.124817935125084,0.90553072740396,"Cain","Micr"
"304","Micr.1","scale(pmi)",-0.186160515967544,0.533660053979894,-0.348837269305073,0.74142072502402,"Cain","Micr"
"305","Micr.1","LOADAD",0.673188568012352,1.41645306267105,0.475263590268849,0.654635390173525,"Cain","Micr"
"306","Micr.2","(Intercept)",-0.0988878608277183,0.797854207269116,-0.123942269059645,0.906189411765019,"Cain","Micr"
"307","Micr.2","scale(age_death)",-0.382325763710896,0.570454125650419,-0.670212987372082,0.532426538378825,"Cain","Micr"
"308","Micr.2","factor(msex)1",-0.315270114269843,0.734645968061042,-0.42914564018086,0.685679495624337,"Cain","Micr"
"309","Micr.2","scale(pmi)",-0.606295914363613,0.447061482733443,-1.35618016264021,0.233068656586726,"Cain","Micr"
"310","Micr.2","LOADAD",0.513045835925281,1.18660109876597,0.432365886445609,0.683487810372522,"Cain","Micr"
"311","Micr.3","(Intercept)",0.863482134252793,0.888480549163973,0.97186385798237,0.375753782429308,"Cain","Micr"
"312","Micr.3","scale(age_death)",0.312632831208919,0.635250638792184,0.492140915912079,0.643464686185111,"Cain","Micr"
"313","Micr.3","factor(msex)1",-0.599157217039534,0.818092637974661,-0.732383093585658,0.496807255847077,"Cain","Micr"
"314","Micr.3","scale(pmi)",0.405886684570959,0.497842122119802,0.815291970158534,0.451977636544591,"Cain","Micr"
"315","Micr.3","LOADAD",-1.12780705146605,1.32138426577796,-0.853504223316947,0.432356887290346,"Cain","Micr"
"316","Micr.4","(Intercept)",-0.703292925652976,0.802229423045348,-0.876673063153433,0.420781313266837,"Cain","Micr"
"317","Micr.4","scale(age_death)",-0.121457396045696,0.573582341140696,-0.211752328016499,0.840661160246164,"Cain","Micr"
"318","Micr.4","factor(msex)1",0.617799148967549,0.738674567020754,0.836361743791012,0.441077498364759,"Cain","Micr"
"319","Micr.4","scale(pmi)",0.227398350399621,0.449513046483286,0.505877086724502,0.634450948175744,"Cain","Micr"
"320","Micr.4","LOADAD",0.788786702338404,1.19310809691189,0.661119226648461,0.537778033741279,"Cain","Micr"
"321","Micr.5","(Intercept)",1.20869213413349,0.787427934540402,1.53498762377406,0.185377587774208,"Cain","Micr"
"322","Micr.5","scale(age_death)",0.370113368305536,0.562999492662258,0.657395562747987,0.539979624622443,"Cain","Micr"
"323","Micr.5","factor(msex)1",-0.813808420673657,0.725045693785029,-1.12242363157176,0.312670324246242,"Cain","Micr"
"324","Micr.5","scale(pmi)",0.429998034138572,0.441219331494514,0.974567530126269,0.374533946229242,"Cain","Micr"
"325","Micr.5","LOADAD",-1.60357584759332,1.17109472358713,-1.36929644997585,0.229207877644774,"Cain","Micr"
"326","Micr.6","(Intercept)",-1.17041780756212,0.753666919230288,-1.55296428395378,0.181139794898857,"Cain","Micr"
"327","Micr.6","scale(age_death)",-0.521122612068645,0.538860858944049,-0.967081953381874,0.377919203569329,"Cain","Micr"
"328","Micr.6","factor(msex)1",1.01655596274841,0.693959320423515,1.46486390892195,0.202846824501309,"Cain","Micr"
"329","Micr.6","scale(pmi)",-0.373600560892016,0.422302028777283,-0.884676216152037,0.416839042049046,"Cain","Micr"
"330","Micr.6","LOADAD",1.32427965237583,1.12088397393206,1.18146006471148,0.290547163617264,"Cain","Micr"
"331","Oli0","(Intercept)",-0.0725968165817081,0.45429720011496,-0.15980027295642,0.874641273069651,"Mathys","Oli"
"332","Oli0","scale(age_death)",-0.107388839167917,0.213881490212524,-0.502095057693911,0.621083652110655,"Mathys","Oli"
"333","Oli0","factor(msex)1",-0.347100829912723,0.436748832217523,-0.79473785459339,0.436096041928376,"Mathys","Oli"
"334","Oli0","scale(pmi)",0.267284181167533,0.223296344882732,1.19699308695762,0.245305424244979,"Mathys","Oli"
"335","Oli0","LOADAD",0.373758148343461,0.469043795093106,0.796851279674788,0.434895585000033,"Mathys","Oli"
"336","Oli1","(Intercept)",0.452024247306295,0.414937085303816,1.08938020561677,0.288938913447077,"Mathys","Oli"
"337","Oli1","scale(age_death)",-0.236930990114765,0.195350889520701,-1.21284827878738,0.239319570365095,"Mathys","Oli"
"338","Oli1","factor(msex)1",-0.141855606588699,0.398909100483837,-0.355608850278527,0.725856686314593,"Mathys","Oli"
"339","Oli1","scale(pmi)",0.263934112290902,0.203950045215314,1.29411156546821,0.210371557694497,"Mathys","Oli"
"340","Oli1","LOADAD",-0.599896181474561,0.428406041610039,-1.40029813589936,0.17674705783248,"Mathys","Oli"
