"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"70","IT","scale(age_death)",0.138352518082426,0.215515914298216,0.641959636869247,0.528189530681475,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"71","IT","factor(msex)1",0.0552209826080823,0.44008634782051,0.125477608840991,0.901398197689923,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"72","IT","(Intercept)",-0.139424521593021,0.458252785418637,-0.304252425799549,0.764078634065885,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"73","IT","factor(msex)1",0.44160572064386,0.597753858932297,0.738775189896142,0.475512007161838,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"74","IT","(Intercept)",1.13445314761072,0.723528333907709,1.56794571054826,0.177680512966931,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"75","IT","scale(age_death)",0.287646058595595,0.517312209852657,0.556039569755223,0.602147521159967,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"76","IT","factor(msex)1",-1.10322546911925,0.6662083980262,-1.65597652684628,0.158628930256523,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"77","IT","(Intercept)",-0.0694985037871336,0.436519620545331,-0.159210492532526,0.876388635547692,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"78","IT","(Intercept)",-0.280494520834494,0.457768815565145,-0.61274274545811,0.546951337086689,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"79","IT","scale(age_death)",-0.0934798339957584,0.297691143256351,-0.314016174526428,0.759383676837162,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"80","IT","factor(msex)1",-0.351853095363008,0.615175435112599,-0.571955697968672,0.578852648726651,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"81","IT","scale(pmi)",-0.147230844275491,0.225002714723155,-0.654351412855818,0.520339853194342,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"82","IT","LOADAD",0.396856951847835,0.47262810000506,0.839681245875111,0.411012531009481,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"83","IT","LOADAD",-0.7349240543507,1.26739551842349,-0.579869538488563,0.587149752714005,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"84","IT","(Intercept)",0.166401834615984,0.44924201406883,0.370405771065056,0.718113691274392,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"85","IT","(Intercept)",0.839391296687571,0.852179260325833,0.984993810300696,0.369860130646809,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"86","IT","scale(pmi)",-0.198966963430717,0.312177322575641,-0.637352392509252,0.536935233611408,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"87","IT","LOADAD",-0.068913847709711,0.58648476875378,-0.117503218124736,0.908579367206028,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"88","IT","scale(pmi)",0.369773639196904,0.477501428462672,0.774392739279127,0.473707147735625,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"89","IT","scale(age_death)",0.12032981086236,0.609295746538092,0.197489989953241,0.851221687925147,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"90","IT","factor(msex)1",-0.943858539024441,0.784667238650592,-1.20287746516296,0.28287028729842,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"91","L5/6 IT Car3","scale(age_death)",-0.504795210757315,0.267348014499496,-1.8881576947648,0.0856486386765978,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"92","L5/6 IT Car3","factor(msex)1",0.560824774883221,0.432197188255659,1.29761319629751,0.209188155161695,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"93","L5/6 IT Car3","(Intercept)",-0.601827600512902,0.449562673184925,-1.33869566227387,0.195689125326731,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"94","L5/6 IT Car3","(Intercept)",-0.174560683638494,0.403451574599352,-0.432668242308488,0.673616490557993,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"95","L5/6 IT Car3","scale(pmi)",0.186673915813727,0.220969228277218,0.844795980278005,0.408217412900073,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"96","L5/6 IT Car3","scale(age_death)",0.0910954799749426,0.211652491937846,0.430401169109286,0.671506246435203,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"97","L5/6 IT Car3","factor(msex)1",0.480158460425426,0.436476793761373,1.10007786734232,0.284363515354011,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"98","L5/6 IT Car3","scale(pmi)",0.199494760004183,0.223157259924868,0.893964910984064,0.3819726449424,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"99","L5/6 IT Car3","factor(msex)1",-0.168304018924075,0.552471697166314,-0.304638264344263,0.766327834010336,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"100","L5/6 IT Car3","scale(pmi)",-0.0811712270660494,0.280357643325977,-0.289527426836265,0.777562078816785,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"101","L5/6 IT Car3","scale(age_death)",-0.474885354490507,0.626385510503374,-0.758135918739373,0.482552906591519,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"102","L5/6 IT Car3","LOADAD",0.519737044638993,0.464155584294818,1.11974747740808,0.276089004928889,"Mathys","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"103","L5/6 IT Car3","LOADAD",0.444898516199951,0.468751641020854,0.949113511861089,0.353891592433605,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"104","L5/6 IT Car3","scale(age_death)",0.118511821826992,0.213748269500516,0.554445760444885,0.585421156627723,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"105","L5/6 IT Car3","scale(age_death)",-0.29356321448537,0.291996764543031,-1.00536461403876,0.336324846990448,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"106","L5/6 IT Car3","factor(msex)1",-0.0161871546437263,0.603408064863205,-0.0268262152700859,0.979078839053159,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"107","L5/6 IT Car3","LOADAD",1.10451397649991,1.30294392062977,0.847706458437638,0.435291445360911,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"108","L5/6 IT Car3","(Intercept)",-0.268333634108465,0.87608151550786,-0.306288432478699,0.771728642266009,"Cain","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
"109","L5/6 IT Car3","LOADAD",0.851132608132752,1.32871585660036,0.640567811323071,0.550003069147178,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"110","L5/6 IT Car3","(Intercept)",-0.234636681718338,0.44064869774084,-0.532480143300765,0.604982580853253,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"111","L5/6 IT Car3","scale(pmi)",-0.0809926923522302,0.306205845288776,-0.264504070050811,0.796281937035136,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"112","L5/6 IT Car3","LOADAD",0.481413729419471,0.575266207306683,0.836853830982675,0.420483788101988,"Zhou","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"113","L5/6 IT Car3","(Intercept)",-0.515211111372173,0.454014231278329,-1.13479066486867,0.269880977436498,"Mathys","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"114","L5/6 IT Car3","scale(pmi)",0.0623487221439955,0.500604357775293,0.12454690251015,0.90573459154541,"Cain","MTGnCgG_Top20PctMostVar","Unfiltered","Glutamatergic"
"115","L5/6 IT Car3","LOADAD",0.475349381470045,0.526705419400058,0.90249571005267,0.386129507756651,"Zhou","MTGnCgG_Top20PctMostVar","Filtered","Glutamatergic"
