"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"848","NFATC2",4773,"ENSG00000101096","Microglia",0.591,0.252,3.44503688803786,0.723,0.446,1.11401143196793e-309,5.60136088107795e-305
"849","NFATC4",4776,"ENSG00000100968, ENSG00000285485","Astrocyte",0.432,0.012,3.99150747569524,0.712,0.424,0,0
"850","NFKBIA",4792,"ENSG00000100906","Endothelial",0.657,0.209,2.58623160213758,0.763,0.526,1.42045230562117e-25,7.14217623789382e-21
"851","NHSL1",57224,"ENSG00000135540","Astrocyte",0.991,0.479,3.03641052978616,0.964,0.928,0,0
"852","NHSL2",340527,"ENSG00000204131","VLMC",0.545,0.398,2.53529652210393,0.658,0.316,9.94736375891627e-05,1
"853","NID2",22795,"ENSG00000087303","VLMC",0.727,0.131,3.52710990189504,0.828,0.656,5.58192269931735e-08,0.00280664655244376
"854","NINJ2",4815,"ENSG00000171840","Oligodendrocyte",0.593,0.217,3.56312978570893,0.735,0.47,0,0
"855","NKAIN1",79570,"ENSG00000084628","Oligodendrocyte",0.529,0.381,2.73946393329965,0.623,0.246,3.45433245979946e-235,1.73687290411177e-230
"856","NKD1",85407,"ENSG00000140807","VLMC",1,0.124,3.9223498433666,0.976,0.952,2.74676017083939e-13,1.38109848149975e-08
"857","NKX6.2",NA,NA,"Oligodendrocyte",0.458,0.004,2.87339664191451,0.727,0.454,0,0
"858","NLRC5",84166,"ENSG00000140853","Endothelial",0.557,0.215,3.08769169621092,0.711,0.422,7.71471832947447e-40,3.87903752324306e-35
"859","NLRP1",22861,"ENSG00000091592","Microglia",0.536,0.213,4.22903579069574,0.705,0.41,0,0
"860","NMU",10874,"ENSG00000109255","SST",0.744,0.199,3.81847942680716,0.833,0.666,0,0
"861","NOD1",10392,"ENSG00000106100","Endothelial",0.429,0.186,2.55775154278726,0.647,0.294,5.72847708735073e-17,2.88033556429082e-12
