"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"40","CBLN2",147381,"ENSG00000141668","Glutamatergic",0.832,0.145,3.55703837065885,0.89,0.78,0,0
"41","CD22",933,"ENSG00000012124","Non-neuronal",0.401,0.102,4.15512465553982,0.667,0.334,0,0
"42","CD38",952,"ENSG00000004468","Non-neuronal",0.378,0.256,3.02841322771904,0.585,0.17,5.91079477888716e-125,2.97200672277225e-120
"43","CD9",928,"ENSG00000010278","Non-neuronal",0.453,0.101,4.77235618535024,0.695,0.39,0,0
"44","CDC14A",8556,"ENSG00000079335","Non-neuronal",0.426,0.182,3.38602958288998,0.648,0.296,0,0
"45","CDH1",999,"ENSG00000039068","Non-neuronal",0.471,0.372,2.85535845917567,0.589,0.178,2.84984315047217e-153,1.43292963448891e-148
"46","CDH20",28316,"ENSG00000101542","Non-neuronal",0.834,0.494,2.72414426078694,0.822,0.644,0,0
"47","CDH23",64072,"ENSG00000107736","Non-neuronal",0.389,0.251,2.68558433625063,0.59,0.18,2.35428339207246e-124,1.18375723236796e-119
"48","CDK18",5129,"ENSG00000117266","Non-neuronal",0.489,0.286,2.9540089211656,0.645,0.29,0,0
"49","CECR2",27443,"ENSG00000099954","Non-neuronal",0.835,0.656,3.44971595826465,0.768,0.536,0,0
"50","CERCAM",51148,"ENSG00000167123","Non-neuronal",0.576,0.209,4.78131088495206,0.727,0.454,0,0
"51","CHD7",55636,"ENSG00000171316","Non-neuronal",0.619,0.174,3.18576829558973,0.757,0.514,0,0
"52","CLDN10",9071,"ENSG00000134873","Non-neuronal",0.397,0.277,2.59757122178293,0.584,0.168,1.30387513956374e-141,6.55601458924044e-137
"53","CLDN11",5010,"ENSG00000013297","Non-neuronal",0.553,0.24,4.06524651169998,0.703,0.406,0,0
"54","CLIC4",25932,"ENSG00000169504","Non-neuronal",0.625,0.376,3.33850807646081,0.695,0.39,0,0
"55","CLMN",79789,"ENSG00000165959","Non-neuronal",0.544,0.262,3.25044453575574,0.685,0.37,0,0
"56","CLSTN2",64084,"ENSG00000158258","Glutamatergic",0.969,0.458,2.51121112955482,0.93,0.86,0,0
"57","CNDP1",84735,"ENSG00000150656","Non-neuronal",0.533,0.178,5.54995338589289,0.715,0.43,0,0
