"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","group_2"
"EPHB64",1.3207589061455e-56,3.62466568133227,0.917,0.014,6.6409078559902e-52,"Endo_CLDN5"
"NXPH14",1.95366925101621e-56,6.22333634147501,0.892,0.143,9.8232443610346e-52,"Endo_CLDN5"
"LHFPL34",1.96921981372308e-56,4.08124870210782,0.94,0.643,9.901434145381e-52,"Endo_CLDN5"
"GABRB33",4.20062067633248e-56,3.59004897410331,0.933,0.429,2.11211408226673e-51,"Endo_CLDN5"
"HDAC91",5.97601467892358e-56,3.04918498729015,0.972,0.614,3.00479994070957e-51,"Endo_CLDN5"
"MARK11",8.27733697937567e-56,5.19267156457856,0.92,0.157,4.16192780659988e-51,"Endo_CLDN5"
"NLGN4X2",8.67206954093078e-56,3.03018940635291,0.949,0.471,4.36040328587541e-51,"Endo_CLDN5"
"LINC004611",8.91239773219336e-56,5.28194783791052,0.91,0.157,4.48124270372414e-51,"Endo_CLDN5"
"KIAA12112",5.08878269250486e-55,3.68771840907301,0.938,0.457,2.55869082561837e-50,"Endo_CLDN5"
"DNER",1.03606755596803e-54,5.29457973433026,0.933,0.386,5.20945127816286e-50,"Endo_CLDN5"
"GRIA34",1.97569863402205e-54,3.14881459567709,0.938,0.2,9.93401030172627e-50,"Endo_CLDN5"
"SRRM34",2.52381144789012e-54,4.29198666310654,0.952,0.486,1.26899763411363e-49,"Endo_CLDN5"
"ANKRD30BL4",1.46752318983914e-53,4.22899306984806,0.931,0.529,7.37885335083019e-49,"Endo_CLDN5"
"TENM41",2.98775432935377e-53,3.60706952585437,0.949,0.457,1.50227275434237e-48,"Endo_CLDN5"
"MIR124-2HG3",3.43661537161881e-53,5.46224588226975,0.885,0.014,1.72796457500366e-48,"Endo_CLDN5"
"PDE4B",5.15323883904611e-53,3.82016686784277,0.931,0.457,2.59110002066078e-48,"Endo_CLDN5"
"MPP63",6.26610100066251e-53,3.03952974213769,0.908,0.171,3.15065824414312e-48,"Endo_CLDN5"
"KCNIP11",3.00061558487899e-52,5.32346925939238,0.901,0.214,1.50873952223301e-47,"Endo_CLDN5"
"LINC005994",4.06924150968435e-52,5.25799334581674,0.883,0.014,2.04605532348439e-47,"Endo_CLDN5"
"TMEM1083",2.15439611381832e-51,5.37438029543147,0.915,0.3,1.08325190998899e-46,"Endo_CLDN5"
"FSTL54",2.31406838844947e-51,4.74668441163642,0.936,0.5,1.16353672639628e-46,"Endo_CLDN5"
"SV2A2",1.66177816357818e-50,4.82757316768378,0.869,0.029,8.35558678428742e-46,"Endo_CLDN5"
"RALYL4",2.32098803043911e-50,4.68476392349458,0.949,0.5,1.16701599158509e-45,"Endo_CLDN5"
"HMP193",3.2511674853211e-50,4.87240481143334,0.862,0.071,1.6347195232943e-45,"Endo_CLDN5"
"LRRTM43",6.00308540870434e-50,5.89874930519607,0.968,0.6,3.01841137435063e-45,"Endo_CLDN5"
"LINC011223",6.03446765050786e-50,4.24676521374829,0.901,0.286,3.03419067935186e-45,"Endo_CLDN5"
"CADM12",9.05488681269013e-50,3.51992164365415,0.91,0.343,4.55288763828872e-45,"Endo_CLDN5"
"UNC5D3",2.21169787706658e-49,3.83555430841156,0.922,0.5,1.11206380956785e-44,"Endo_CLDN5"
"SATB12",2.48980408611449e-49,4.20764292825919,0.841,0.157,1.25189839253923e-44,"Endo_CLDN5"
"CCDC1361",5.24794612332972e-49,3.14224638926675,0.864,0.129,2.63871979027142e-44,"Endo_CLDN5"
"MPPED14",8.42293601806097e-49,4.16348805534253,0.883,0.129,4.23513645924124e-44,"Endo_CLDN5"
"ANO52",1.1604102055809e-48,5.21222995240408,0.869,0.086,5.83465855468131e-44,"Endo_CLDN5"
"GRIN12",1.75961218253499e-48,3.10360876176636,0.906,0.071,8.84750601500417e-44,"Endo_CLDN5"
"SLC24A23",2.85728947883033e-48,4.31519406883213,0.894,0.343,1.43667372285068e-43,"Endo_CLDN5"
"CNTN54",4.70824103096235e-48,5.05379756790837,0.991,0.814,2.36735067277818e-43,"Endo_CLDN5"
"CACNG35",4.83507950085676e-48,5.02557476688809,0.88,0.329,2.43112632382579e-43,"Endo_CLDN5"
"CNTN43",6.19789764532868e-48,3.97021270170795,0.949,0.529,3.11636491504772e-43,"Endo_CLDN5"
"THY11",7.01886293041887e-48,4.33329951742944,0.887,0.043,3.52915447004391e-43,"Endo_CLDN5"
"SCAMP51",7.55877142608823e-48,4.39920812596287,0.899,0.157,3.80062586075142e-43,"Endo_CLDN5"
"SCN3B4",1.20621494574705e-47,5.21817751986839,0.851,0.071,6.06496936871077e-43,"Endo_CLDN5"
"GALNTL65",1.74320818511363e-47,6.30717316995431,0.961,0.7,8.76502507556983e-43,"Endo_CLDN5"
"SHISA62",1.92444582948342e-47,2.52054877754844,0.913,0.329,9.67630607522556e-43,"Endo_CLDN5"
"HSPA12A1",2.19022195177397e-47,4.7322725183174,0.864,0.214,1.10126549957147e-42,"Endo_CLDN5"
"ASTN22",2.93197336275464e-47,3.0606452082754,0.922,0.543,1.47422552652666e-42,"Endo_CLDN5"
"CAMK2B",3.6037581848782e-47,2.76567383130405,0.906,0.129,1.81200565293861e-42,"Endo_CLDN5"
"GABRA44",3.78700206145701e-47,5.29546284915232,0.864,0.043,1.9041425065212e-42,"Endo_CLDN5"
"CHSY31",4.25020573991026e-47,4.98153822852286,0.903,0.271,2.13704594808428e-42,"Endo_CLDN5"
"SYT142",4.60156164862667e-47,4.9373022850828,0.899,0.329,2.31371121254598e-42,"Endo_CLDN5"
"KCNA35",5.44646024669128e-47,5.25359824392145,0.848,0.029,2.73853467663884e-42,"Endo_CLDN5"
"SYP",5.72583173929865e-47,2.90010666265624,0.913,0.1,2.87900545683675e-42,"Endo_CLDN5"
"GABRB24",7.57104189787939e-47,3.01487065378089,0.906,0.186,3.80679557667273e-42,"Endo_CLDN5"
"BEX11",1.0031893844121e-46,2.72815490373397,0.901,0.071,5.0441365437625e-42,"Endo_CLDN5"
"CNTN34",1.35198474016952e-46,3.58898146544326,0.883,0.3,6.79791447204634e-42,"Endo_CLDN5"
"PTPRS1",2.630318473499e-46,3.63273830518749,0.956,0.5,1.32255043166003e-41,"Endo_CLDN5"
"PDE1C2",3.23772884257935e-46,3.64899538569615,0.91,0.514,1.62796243933732e-41,"Endo_CLDN5"
"GRM15",5.35373569131578e-46,4.72747900908905,0.885,0.343,2.69191184295049e-41,"Endo_CLDN5"
"REEP11",6.47379416267116e-46,3.87744516223121,0.89,0.2,3.25508844293268e-41,"Endo_CLDN5"
"ATCAY3",1.12448697035448e-45,4.03618551352706,0.913,0.357,5.65403293563937e-41,"Endo_CLDN5"
