"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"627","LOC101929249",101929249,"Oligo","Oligo",0.906,0.027,4.86870694768709,0,0,0.95,0.9
"628","LOC101929352",101929352,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.345,3.09981760988885,6.84321429421921e-07,0.0344083657927636,0.837,0.674
"629","LOC101929418",101929418,"Astro_FGFR3","Astrocyte",0.673,0.461,2.62876186577106,0,0,0.7,0.4
"630","LOC101929497",101929497,"Micro_C1QC","Microglia",0.776,0.143,5.91570058561467,0,0,0.869,0.738
"631","LOC101929544",101929544,"Pyramidal","Pyramidal",0.765,0.1,3.72462567514543,0,0,0.865,0.73
"632","LOC101929608",101929608,"Astro_FGFR3","Astrocyte",0.652,0.161,5.06158029708293,0,0,0.793,0.586
"633","LOC101929680",101929680,"Inh_PVALB","PVALB",0.799,0.148,2.64322227596748,0,0,0.86,0.72
"634","LOC101929796",101929796,"Astro_FGFR3","Astrocyte",0.622,0.147,2.53993033938458,0,0,0.761,0.522
"635","LOC101929974",101929974,"Pyramidal","Pyramidal",0.377,0.105,3.17048627748096,0,0,0.647,0.294
"636","LOC101930023",101930023,"Micro_C1QC","Microglia",0.473,0.265,4.34859843791006,0,0,0.657,0.314
"637","LOC101930275",101930275,"Astro_FGFR3","Astrocyte",0.706,0.071,3.70767141217621,0,0,0.837,0.674
"638","LOC101930370",101930370,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.249,2.74753184344461,0.00338235029601885,1,0.637,0.274
"639","LOC102723493",102723493,"Astro_FGFR3","Astrocyte",0.414,0.245,2.77062858876146,1.84499870983125e-264,9.27683801290249e-260,0.615,0.23
"640","LOC102724168",102724168,"Micro_C1QC","Microglia",0.284,0.379,2.64669021060206,2.31877678134734e-87,1.16590415342925e-82,0.478,0.044
"641","LOC102724210",102724210,"VLMC_CYP1B1","VLMC_CYP1B1",0.727,0.398,5.41768234831903,1.83813043097138e-67,9.24230361996722e-63,0.758,0.516
"642","LOC102724312",102724312,"Oligo","Oligo",0.387,0.011,3.4861037526264,0,0,0.69,0.38
"643","LOC102724687",102724687,"Astro_FGFR3","Astrocyte",0.756,0.434,3.47513048540998,0,0,0.793,0.586
"644","LOC102725045",102725045,"OPC_MYT1","OPC",0.705,0.426,3.47849360314654,0,0,0.759,0.518
"645","LOC105369212",105369212,"Peri_MUSTN1","Peri_MUSTN1",0.438,0.131,3.55496479196555,8.34234325649403e-11,4.19461361279776e-06,0.673,0.346
"646","LOC105369213",105369213,"Micro_C1QC","Microglia",0.404,0.134,4.55633871127637,0,0,0.658,0.316
"647","LOC105369334",105369334,"Pyramidal","Pyramidal",0.522,0.026,3.2984126897626,0,0,0.753,0.506
"648","LOC105369827",105369827,"Micro_C1QC","Microglia",0.444,0.333,3.45573850274395,2.49622123145479e-315,1.25512499738778e-310,0.611,0.222
"649","LOC105370000",105370000,"VLMC_CYP1B1","VLMC_CYP1B1",0.364,0.255,3.0107717943773,6.6222514121503e-08,0.00332973423254329,0.58,0.16
"650","LOC105370172",105370172,"Astro_FGFR3","Astrocyte",0.481,0.263,2.60021955848535,1.75973574278074e-304,8.84812728827585e-300,0.65,0.3
"651","LOC105370359",105370359,"Micro_C1QC","Microglia",0.685,0.434,4.32190318303072,0,0,0.734,0.468
"652","LOC105370610",105370610,"Pyramidal","Pyramidal",0.747,0.347,3.43161264180837,0,0,0.779,0.558
"653","LOC105371031",105371031,"OPC_MYT1","OPC",0.367,0.122,2.60245826717802,2.33661219525231e-125,1.17487197789481e-120,0.634,0.268
"654","LOC105371058",105371058,"Endo_CLDN5","Endothelial",0.371,0.147,2.83017940848038,2.1323617120657e-48,1.07217279244376e-43,0.631,0.262
"655","LOC105371308",105371308,"Pyramidal","Pyramidal",0.599,0.376,2.6302752202235,0,0,0.639,0.278
"656","LOC105371576",105371576,"VLMC_CYP1B1","VLMC_CYP1B1",0.455,0.179,2.67606633450219,0.00037757758818962,1,0.657,0.314
"657","LOC105371624",105371624,"OPC_MYT1","OPC",0.934,0.506,3.21742507142084,0,0,0.927,0.854
