"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"430","CHD7",55636,"ENSG00000171316","OPC",0.468,0.082,1.44543603398219,0.62,0.24,0,0
"431","CHD7",55636,"ENSG00000171316","Oligodendrocyte",0.202,0.06,1.72771663820214,0.585,0.17,0,0
"432","CHGA",1113,"ENSG00000100604, ENSG00000276781","IT",0.5,0.099,1.6220376836008,0.694,0.388,0,0
"433","CHI3L1",1116,"ENSG00000133048","Astrocyte",0.155,0.015,3.7704361598873,0.808,0.616,0,0
"434","CHL1",10752,"ENSG00000134121","OPC",0.815,0.407,1.48539686825657,0.628,0.256,0,0
"435","CHN1",1123,"ENSG00000128656","IT",0.907,0.287,1.77726375251954,0.727,0.454,0,0
"436","CHN2",1124,"ENSG00000285162, ENSG00000106069","Oligodendrocyte",0.349,0.202,1.67065294930862,0.575,0.15,0,0
"437","CHPT1",56994,"ENSG00000111666","Astrocyte",0.542,0.296,1.56677348471981,0.589,0.178,0,0
"438","CHRDL1",91851,"ENSG00000101938","Astrocyte",0.161,0.031,2.4754126871426,0.674,0.348,0,0
"439","CHRDL1",91851,"ENSG00000101938","LAMP5",0.25,0.034,1.90428915490357,0.617,0.234,2.29785369928404e-135,4.11913254133656e-131
"440","CHRM1",1128,"ENSG00000168539","IT",0.196,0.035,1.35465665705635,0.609,0.218,0,0
"441","CHRM2",1129,"ENSG00000181072","L5.6.NP",0.62,0.058,2.67068707511587,0.826,0.652,1.07523864041571e-220,1.9274727868092e-216
"442","CHRM2",1129,"ENSG00000181072","SST",0.2,0.058,1.86161734288079,0.573,0.146,8.8273235688942e-146,1.58238602295997e-141
"443","CHRNA7",1139,"ENSG00000175344, ENSG00000274542, ENSG00000282088","VIP",0.245,0.033,2.89196636256672,0.76,0.52,0,0
"444","CHST11",50515,"ENSG00000171310","OPC",0.839,0.155,2.57993465398586,0.776,0.552,0,0
"445","CHST11",50515,"ENSG00000171310","Microglia",0.617,0.169,2.69382212086015,0.607,0.214,0,0
"446","CHST8",64377,"ENSG00000124302","OPC",0.155,0.039,2.08643050520557,0.584,0.168,5.46384225849579e-231,9.79448363257956e-227
"447","CHST9",83539,"ENSG00000154080","LAMP5",0.354,0.046,2.79790021907564,0.708,0.416,7.99296057994898e-280,1.43281811356165e-275
"448","CHST9",83539,"ENSG00000154080","OPC",0.358,0.039,2.96765074641006,0.832,0.664,0,0
"449","CIT",11113,"ENSG00000122966","IT",0.605,0.143,1.38130934262645,0.62,0.24,0,0
"450","CITED2",10370,"ENSG00000164442","PVALB",0.247,0.06,1.47633114601817,0.583,0.166,1.453883343464e-252,2.60623128149357e-248
"451","CLDN10",9071,"ENSG00000134873","Astrocyte",0.291,0.015,3.54090155997887,0.781,0.562,0,0
"452","CLDN11",5010,"ENSG00000013297","Oligodendrocyte",0.797,0.116,4.17571020884739,0.833,0.666,0,0
