"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"120","HAPLN1",1404,"ENSG00000145681","GABAergic",0.435,0.113,2.84049113884824,0.678,0.356,0,0
"121","HAPLN2",60484,"ENSG00000132702","Non-neuronal",0.352,0.199,3.3431446314802,0.601,0.202,0,0
"122","HEPACAM",220296,"ENSG00000165478","Non-neuronal",0.417,0.058,3.60624640031007,0.688,0.376,0,0
"123","HEPH",9843,"ENSG00000089472","Non-neuronal",0.413,0.517,3.14991190139792,0.51,0.02,0,0
"124","HHATL",57467,"ENSG00000010282","Non-neuronal",0.412,0.263,2.54974422630088,0.609,0.218,0,0
"125","HIF3A",64344,"ENSG00000124440","Non-neuronal",0.454,0.356,3.29318721748009,0.608,0.216,0,0
"126","HIP1",3092,"ENSG00000127946","Non-neuronal",0.945,0.946,2.63919363174232,0.744,0.488,0,0
"127","HTRA1",5654,"ENSG00000166033","Non-neuronal",0.656,0.221,2.69678478673815,0.76,0.52,0,0
"128","IGF1",3479,"ENSG00000017427","GABAergic",0.7,0.063,2.95301370590433,0.834,0.668,0,0
"129","IGFBP7",3490,"ENSG00000163453","Non-neuronal",0.368,0.282,3.41481488242598,0.577,0.154,0,0
"130","INPP5D",3635,"ENSG00000168918, ENSG00000281614","Non-neuronal",0.444,0.412,3.61469286080462,0.558,0.116,2.1195216697941e-314,1.06571669078917e-309
"131","ITGAM",3684,"ENSG00000169896","Non-neuronal",0.379,0.427,3.28107073394719,0.521,0.042,0,0
"132","ITIH5",80760,"ENSG00000123243","Non-neuronal",0.525,0.559,2.61273521731514,0.544,0.0880000000000001,2.91766329132689e-185,1.46703027951207e-180
"133","ITPKB",3707,"ENSG00000143772","Non-neuronal",0.488,0.195,3.2885502603775,0.68,0.36,0,0
"134","KANK1",23189,"ENSG00000107104","Non-neuronal",0.863,0.683,3.44301377215581,0.812,0.624,0,0
"135","KCNH8",131096,"ENSG00000183960","Non-neuronal",0.704,0.602,3.89176786584125,0.708,0.416,0,0
"136","KCNJ10",3766,"ENSG00000177807","Non-neuronal",0.441,0.039,4.54550277629556,0.708,0.416,0,0
"137","KCNV1",27012,"ENSG00000164794","Glutamatergic",0.669,0.043,2.7902921215236,0.821,0.642,0,0
"138","KIAA1211L",343990,"ENSG00000196872","Glutamatergic",0.973,0.274,2.68047342635292,0.958,0.916,0,0
"139","KIAA1755",85449,"ENSG00000149633","Non-neuronal",0.497,0.1,4.57090592341641,0.721,0.442,0,0
"140","KIT",3815,"ENSG00000157404","GABAergic",0.498,0.131,3.94242194505771,0.708,0.416,0,0
